cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.5433,0.5824,0.1244,0.0366,77.4194,65.1289,33.908,39.1813,0.7042,0.7707,3.1002,-0.384,-4.1539,6.9104,0.0,0.0,0.0,0.4977,0.1465,0.0,0.0,0.0,60.0,60.0,60.0,129.6774,80.5155,60.0,60.0,60.0
1,0.015,0.5427,0.5786,0.1354,0.0496,78.9572,66.9432,43.6782,36.2573,0.7235,0.7652,3.1937,-0.264,0.4024,6.8114,0.0,0.0,0.0,0.5416,0.1984,0.0,0.0,0.0,60.0,60.0,60.0,135.829,87.7727,60.0,60.0,60.0
2,0.03,0.5411,0.5731,0.1409,0.0537,79.7283,67.5191,48.2759,43.8596,0.7501,0.7745,3.4478,-0.1205,-1.0954,6.5533,0.0,0.0,0.0,0.5637,0.2148,0.0,0.0,0.0,60.0,60.0,60.0,138.9131,90.0765,60.0,60.0,60.0
3,0.045,0.5393,0.5695,0.1401,0.037,79.6205,65.1806,44.2529,40.9357,0.7661,0.7774,3.5835,-0.2483,-5.0236,6.4213,0.0,0.0,0.0,0.5606,0.148,0.0,0.0,0.0,60.0,60.0,60.0,138.4821,80.7224,60.0,60.0,60.0
4,0.06,0.535,0.5687,0.1607,0.0293,82.4919,64.0987,49.4253,30.9942,0.7909,0.7615,3.69,-0.3713,-8.3678,6.3209,0.0,0.0,0.0,0.6426,0.1171,0.0,0.0,0.0,60.0,60.0,60.0,149.9677,76.3947,60.0,60.0,60.0
5,0.075,0.5327,0.5694,0.1847,0.0347,85.8647,64.8605,47.7011,35.6725,0.8099,0.7558,3.9453,-0.5286,-6.5349,6.0777,0.0057,0.0,0.0,0.7333,0.1147,0.0242,0.0,0.0,60.7924,60.0,60.0,162.6664,76.055,63.387,60.0,60.0
6,0.09,0.5323,0.5693,0.2192,0.0456,90.6871,66.3855,59.7701,38.5965,0.851,0.7561,4.065,-0.3967,-1.6144,5.9482,0.0,0.0,0.0,0.8768,0.1438,0.0386,0.0,0.0,60.0,60.0,60.0,182.7486,80.1339,65.408,60.0,60.0
7,0.105,0.5307,0.5656,0.2499,0.0638,94.9879,68.927,55.7471,34.5029,0.8802,0.7487,4.2459,-0.3073,-0.5634,5.7623,0.0,0.0,0.0,0.9997,0.2004,0.0547,0.0,0.0,60.0,60.0,60.0,199.9515,88.0511,67.657,60.0,60.0
8,0.12,0.5285,0.5623,0.25,0.0612,95.0,68.5646,53.4483,37.4269,0.902,0.7475,4.496,-0.2547,-2.7767,5.5099,0.0,0.0,0.0,1.0,0.1957,0.049,0.0,0.0,60.0,60.0,60.0,200.0,87.3958,66.8626,60.0,60.0
9,0.135,0.5256,0.561,0.2524,0.0797,95.3385,71.1555,55.7471,37.4269,0.9264,0.7465,4.5773,-0.3968,-7.7175,5.4372,0.0097,0.0,0.0,1.0,0.123,0.0346,0.0,0.1611,61.3539,60.0,60.0,200.0,77.223,64.85,60.0,82.549
10,0.15,0.5227,0.5632,0.2635,0.0535,96.8967,67.4854,52.8736,39.7661,0.9427,0.7499,4.7689,-0.5499,-7.7368,5.2599,0.0542,0.0,0.0,1.0,0.1217,0.0483,0.0,0.0439,67.5867,60.0,60.0,200.0,77.036,66.7656,60.0,66.1401
11,0.165,0.5217,0.5659,0.2546,0.0455,95.6508,66.3761,53.4483,39.7661,0.9586,0.7529,5.0233,-0.5702,-5.7686,5.0093,0.0186,0.0,0.0,1.0,0.1403,0.0419,0.0,0.0,62.6032,60.0,60.0,200.0,79.6378,65.8665,60.0,60.0
12,0.18,0.5206,0.5651,0.2501,0.0683,95.0085,69.5607,56.8966,38.0117,0.9798,0.7524,5.1384,-0.4541,-1.7902,4.8828,0.0,0.0,0.0002,1.0,0.2121,0.0611,0.0,0.0,60.0,60.0,60.034,200.0,89.6937,68.549,60.0,60.0
13,0.195,0.518,0.5622,0.25,0.0757,95.0,70.595,46.5517,38.5965,0.9786,0.7531,5.3576,-0.3035,-3.2438,4.6523,0.0,0.0,0.0,1.0,0.2451,0.0576,0.0,0.0,60.0,60.0,60.0,200.0,94.316,68.0639,60.0,60.0
14,0.21,0.5161,0.5607,0.25,0.0711,95.0,69.9566,55.1724,38.0117,0.9945,0.7526,5.5059,-0.4438,-7.5827,4.5159,0.0,0.0,0.0,1.0,0.1988,0.0339,0.0,0.0517,60.0,60.0,60.0,200.0,87.834,64.7497,60.0,67.2426
15,0.225,0.5103,0.5625,0.25,0.054,95.0,67.5558,56.8966,32.7485,1.0,0.7423,5.5917,-0.5809,-12.2016,4.4464,0.0,0.0,0.0,1.0,0.1799,0.036,0.0,0.0,60.0,60.0,60.0,200.0,85.18,65.0432,60.0,60.0
16,0.24,0.5064,0.5673,0.28,0.0558,99.2038,67.8171,56.3218,36.2573,1.0,0.7395,5.8842,-0.7966,-10.7621,4.1922,0.0202,0.0,0.0999,1.0,0.1748,0.0486,0.0,0.0,62.8316,60.0,73.9837,200.0,84.4694,66.799,60.0,60.0
17,0.255,0.5039,0.5701,0.3418,0.0702,107.851,69.8263,55.7471,33.9181,1.0,0.7326,6.0494,-0.6905,-6.4369,4.0105,0.0,0.0,0.3672,1.0,0.1991,0.0633,0.0184,0.0,60.0,60.0,111.4038,200.0,87.8776,68.8574,62.5702,60.0
18,0.27,0.4999,0.5697,0.3638,0.0932,110.9364,73.045,67.2414,32.7485,1.0,0.7242,6.2094,-0.5914,-4.137,3.8364,0.0,0.0,0.4553,1.0,0.2548,0.0871,0.0308,0.0,60.0,60.0,123.7457,200.0,95.6765,72.194,64.3094,60.0
