population,n_stim,stim_rate_hz,dnp09_left_hz,dnp09_right_hz,n_active
восходящие слева,838,0.0,0.0,0.0,0
восходящие слева,838,50.0,0.0,0.0,3081
восходящие слева,838,100.0,0.0,0.0,3772
восходящие слева,838,200.0,0.0,0.0,12361
восходящие справа,898,0.0,0.0,0.0,0
восходящие справа,898,50.0,0.0,0.0,3203
восходящие справа,898,100.0,0.0,0.0,11763
восходящие справа,898,200.0,0.0,0.0,12526
механосенс. слева,1363,0.0,0.0,0.0,0
