cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.5818,0.5993,0.0,0.0594,60.0,68.3213,33.3333,43.2749,0.6781,0.846,3.1228,0.5732,9.4672,9.4934
1,0.015,0.5799,0.6018,0.0077,0.0346,61.0713,64.8459,34.4828,37.4269,0.6804,0.8352,3.278,0.4632,5.3092,9.6221
2,0.03,0.5776,0.6039,0.0312,0.0131,64.3678,61.8409,33.3333,32.1637,0.6802,0.8155,3.4181,0.3651,2.2016,9.7387
3,0.045,0.5769,0.6036,0.0388,0.0166,65.4306,62.3295,39.0805,27.4854,0.6911,0.789,3.6905,0.2604,4.2265,9.8852
4,0.06,0.5788,0.6019,0.0189,0.0335,62.6503,64.6939,40.2299,36.2573,0.7032,0.7814,3.7687,0.4171,9.3633,9.7448
5,0.075,0.58,0.6015,0.0063,0.0378,60.8785,65.2871,32.1839,31.5789,0.6986,0.7658,3.929,0.5411,10.3947,9.6536
6,0.09,0.5791,0.6024,0.0155,0.0284,62.1667,63.9699,36.2069,30.9942,0.7022,0.7506,4.1658,0.6313,8.699,9.6157
7,0.105,0.5759,0.6048,0.0494,0.0044,66.9193,60.6115,28.1609,29.2398,0.6899,0.7336,4.2662,0.5274,4.8488,9.7399
8,0.12,0.5747,0.6055,0.0611,0.0,68.5609,60.0,38.5057,30.4094,0.6988,0.7203,4.4522,0.419,5.1796,9.8899
9,0.135,0.5762,0.605,0.0458,0.0025,66.4097,60.3481,39.0805,30.4094,0.708,0.7084,4.6381,0.4824,7.6552,9.8764
10,0.15,0.5779,0.6026,0.028,0.0267,63.9169,63.7425,33.908,38.0117,0.7062,0.7117,4.7171,0.5953,11.4398,9.7893
11,0.165,0.5784,0.6018,0.0233,0.0344,63.2655,64.8162,29.8851,36.2573,0.6969,0.7114,4.8964,0.7736,10.5173,9.6703
12,0.18,0.5767,0.6035,0.0409,0.0174,65.7269,62.4301,30.4598,40.9357,0.6895,0.7199,5.0531,0.6973,7.1144,9.7909
13,0.195,0.5744,0.605,0.0643,0.0028,69.0006,60.3953,36.7816,32.7485,0.6951,0.7123,5.1664,0.6076,3.5151,9.9118
14,0.21,0.5734,0.6048,0.0753,0.0044,70.537,60.612,39.6552,33.9181,0.7058,0.7076,5.418,0.4979,4.9459,10.0982
15,0.225,0.5751,0.6029,0.0573,0.0232,68.0193,63.252,30.4598,37.4269,0.6976,0.7099,5.5045,0.6385,9.4898,9.9959
16,0.24,0.5765,0.6018,0.0429,0.0343,66.0109,64.7959,29.3103,31.5789,0.6879,0.7011,5.6346,0.7468,11.1794,9.9414
17,0.255,0.5759,0.6019,0.0485,0.0332,66.7891,64.6472,40.8046,37.4269,0.7015,0.704,5.8541,0.8683,9.4483,9.9117
18,0.27,0.5735,0.604,0.074,0.0126,70.3639,61.7579,37.3563,33.9181,0.707,0.7001,5.9556,0.7621,5.2549,10.0492
19,0.285,0.5724,0.6051,0.0848,0.0013,71.8669,60.1864,38.5057,33.3333,0.7143,0.6955,6.1339,0.679,5.1539,10.1966
20,0.3,0.5737,0.605,0.072,0.0027,70.0827,60.3835,36.7816,30.9942,0.7175,0.687,6.3434,0.6984,7.0333,10.2657
