stim_set,n_stim,stim_rate_hz,LC своя (лев),LC чужая (прав),DN своя (лев),DN чужая (прав),active_LC своя (лев),active_LC чужая (прав),active_DN своя (лев),active_DN чужая (прав)
только T4+T5,6146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
только T4+T5,6146,25.0,0.2602295409181637,0.0,0.09612403100775194,0.11609907120743033,0.012475050054490566,0.0,0.007751937955617905,0.006191950291395187
только T4+T5,6146,50.0,0.9897704590818364,0.004962779156327543,1.165891472868217,0.7476780185758514,0.03468063846230507,0.000248138967435807,0.04806201532483101,0.04334365203976631
только T4+T5,6146,100.0,3.0172155688622753,0.001488833746898263,2.685271317829457,1.5773993808049536,0.07809381186962128,0.000248138967435807,0.08217054605484009,0.09597522765398026
только T4+T5,6146,200.0,8.298652694610778,0.010173697270471464,5.390697674418605,3.3606811145510838,0.13597804307937622,0.0024813897907733917,0.1627907007932663,0.14705881476402283
только T4+T5,6146,400.0,16.824101796407184,0.052109181141439205,8.055813953488371,5.1609907120743035,0.17914171516895294,0.004218362271785736,0.1782945692539215,0.17956656217575073
"T4,T5,Tm,TmY",13543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"T4,T5,Tm,TmY",13543,25.0,1.7964071856287425,0.03325062034739454,0.33488372093023255,0.13777089783281735,0.07659680396318436,0.001488833804614842,0.03410852700471878,0.013931888155639172
"T4,T5,Tm,TmY",13543,50.0,4.917664670658683,0.07295285359801489,2.5534883720930233,1.390092879256966,0.15469062328338623,0.002977667609229684,0.10697674751281738,0.13467492163181305
"T4,T5,Tm,TmY",13543,100.0,12.298403193612774,0.10248138957816377,4.610852713178295,3.0123839009287927,0.26871258020401,0.003473945427685976,0.12713178992271423,0.1486068069934845
"T4,T5,Tm,TmY",13543,200.0,29.839321357285428,0.20471464019851116,8.70077519379845,5.36687306501548,0.3992016017436981,0.007196030113846064,0.19379845261573792,0.18421052396297455
"T4,T5,Tm,TmY",13543,400.0,62.28517964071856,0.3893300248138958,13.683720930232559,7.174922600619195,0.5137225389480591,0.013151365332305431,0.20930232107639313,0.18575850129127502
весь стык flyvis,27602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
весь стык flyvis,27602,25.0,2.1067864271457086,0.004962779156327543,0.49767441860465117,0.6331269349845201,0.0833333358168602,0.000744416902307421,0.055813953280448914,0.07894736528396606
весь стык flyvis,27602,50.0,5.494261477045908,0.02481389578163772,2.2806201550387595,1.3715170278637772,0.16991017758846283,0.002233250765129924,0.08527131378650665,0.11609906703233719
весь стык flyvis,27602,100.0,14.763473053892216,0.09081885856079404,4.703875968992248,3.082043343653251,0.33782434463500977,0.006203474011272192,0.1224806159734726,0.1486068069934845
весь стык flyvis,27602,200.0,41.07834331337325,0.29652605459057074,9.085271317829458,5.865325077399381,0.5359281301498413,0.011662531644105911,0.16899225115776062,0.1702786386013031
весь стык flyvis,27602,400.0,84.7944111776447,0.6037220843672456,15.102325581395348,7.317337461300309,0.6876247525215149,0.01563275419175625,0.2124031037092209,0.16563467681407928
