label,scene_a,scene_b,jaccard,corr,corr_dev
две левых,слева 27°,слева 45°,0.9464285714285714,0.9996214294933545,0.1393758323220096
две правых,справа 27°,справа 45°,0.9776357827476039,0.9991487845796295,-0.019532524633565855
лево против право,слева 27°,справа 27°,0.9547844374342797,0.9992403536038262,-0.31472354939076913
лево против право,слева 45°,справа 45°,0.9566596194503171,0.9990797430859365,-0.36594481193484196
лево против перед,слева 27°,впереди,0.9422875131164743,0.9992485303884721,-0.17690620136461094
право против перед,справа 27°,впереди,0.9556962025316456,0.9989158324378716,-0.3205422935122742
