cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.5645,0.6074,0.1332,0.0366,78.6448,65.1289,31.0345,39.7661,0.6445,0.7822,3.0956,-0.3815,-4.0863,7.3035,0.0,0.0,0.5327,0.0,0.1465,0.0,0.0,0.0,60.0,60.0,134.5791,60.0,80.5155,60.0,60.0,60.0
1,0.015,0.5643,0.6052,0.124,0.0496,77.3648,66.9454,43.1034,36.2573,0.6684,0.7756,3.1856,-0.261,0.4777,7.1798,0.0,0.0,0.4961,0.0,0.1984,0.0,0.0,0.0,60.0,60.0,129.4592,60.0,87.7814,60.0,60.0,60.0
2,0.03,0.5618,0.6047,0.1011,0.0535,74.1534,67.4853,41.3793,39.7661,0.6865,0.7763,3.4411,-0.1177,-1.0029,6.8923,0.0,0.0,0.4044,0.0,0.2139,0.0,0.0,0.0,60.0,60.0,116.6135,60.0,89.9413,60.0,60.0,60.0
3,0.045,0.5569,0.6059,0.0812,0.0363,71.3613,65.0818,31.0345,38.5965,0.6825,0.7746,3.5771,-0.2386,-4.6374,6.8018,0.0,0.0,0.3246,0.0,0.1452,0.0,0.0,0.0,60.0,60.0,105.4452,60.0,80.327,60.0,60.0,60.0
4,0.06,0.5529,0.6072,0.0784,0.0277,70.9738,63.8759,37.931,39.7661,0.6925,0.7754,3.6834,-0.3555,-7.6795,6.7415,0.0,0.0,0.3135,0.0,0.1107,0.0,0.0,0.0,60.0,60.0,103.8952,60.0,75.5036,60.0,60.0,60.0
5,0.075,0.5513,0.6062,0.1009,0.0329,74.1208,64.5996,37.3563,36.8421,0.7005,0.7705,3.9205,-0.5011,-5.6893,6.5739,0.0075,0.0,0.396,0.0,0.109,0.0225,0.0,0.0,61.0444,60.0,115.4388,60.0,75.2535,63.145,60.0,60.0
6,0.09,0.5517,0.6042,0.126,0.0422,77.6464,65.9094,40.2299,43.8596,0.7133,0.7793,4.0254,-0.365,-0.6201,6.4256,0.0,0.0,0.5042,0.0,0.1349,0.034,0.0,0.0,60.0,60.0,130.5858,60.0,78.882,64.7557,60.0,60.0
7,0.105,0.551,0.6032,0.1149,0.0594,76.0844,68.3215,37.3563,43.2749,0.7193,0.7862,4.2024,-0.275,0.5791,6.2279,0.0,0.0,0.4596,0.0,0.1893,0.0485,0.0,0.0,60.0,60.0,124.3376,60.0,86.4987,66.7873,60.0,60.0
8,0.12,0.5475,0.6035,0.1124,0.0546,75.7337,67.6463,32.1839,33.9181,0.7144,0.7748,4.4526,-0.2147,-1.0044,5.9732,0.0,0.0,0.4287,0.0208,0.177,0.0414,0.0,0.0,60.0,60.0,120.0204,62.9142,84.7836,65.8018,60.0,60.0
9,0.135,0.5422,0.6055,0.1623,0.0309,82.7268,64.3328,45.977,42.6901,0.7373,0.781,4.5387,-0.336,-5.0919,5.9399,0.022,0.0,0.4194,0.208,0.0983,0.0255,0.0,0.0,63.081,60.0,118.7114,89.1148,73.7557,63.5757,60.0,60.0
10,0.15,0.54,0.6064,0.1804,0.0305,85.2513,64.2631,50.5747,38.0117,0.7671,0.7778,4.7076,-0.4673,-4.8204,5.8393,0.0668,0.0,0.4949,0.1598,0.0844,0.0374,0.0,0.0,69.3479,60.0,129.2858,82.3714,71.8151,65.2371,60.0,60.0
11,0.165,0.5406,0.6063,0.174,0.0327,84.3565,64.5828,39.0805,33.9181,0.7713,0.7673,4.9186,-0.4583,-2.4021,5.6448,0.0404,0.0,0.616,0.0395,0.101,0.0299,0.0,0.0,65.6605,60.0,146.2423,65.5233,74.1465,64.1845,60.0,60.0
12,0.18,0.5411,0.6039,0.1807,0.0525,85.302,67.3519,44.8276,38.0117,0.7865,0.7654,5.0233,-0.3525,1.5745,5.5047,0.0,0.0,0.7229,0.0,0.1671,0.043,0.0,0.0,60.0,60.0,161.2079,60.0,83.3898,66.018,60.0,60.0
13,0.195,0.5389,0.6032,0.2053,0.0605,88.7486,68.4689,39.6552,40.9357,0.79,0.7692,5.237,-0.1995,0.6479,5.2463,0.0,0.0,0.7314,0.09,0.2011,0.0408,0.0,0.0,60.0,60.0,162.3969,72.5976,88.1583,65.7173,60.0,60.0
14,0.21,0.5344,0.605,0.2551,0.0421,95.7166,65.8924,48.8506,39.1813,0.8114,0.7694,5.399,-0.2987,-2.7763,5.1432,0.0,0.0,0.7452,0.2753,0.1502,0.0182,0.0,0.0,60.0,60.0,164.3231,98.5435,81.0212,62.5483,60.0,60.0
15,0.225,0.5294,0.6066,0.2972,0.032,101.6121,64.4753,51.7241,37.4269,0.8364,0.7662,5.4941,-0.4196,-6.9334,5.1144,0.0407,0.0014,0.8532,0.2937,0.1149,0.013,0.0,0.0,65.6927,60.1919,179.4451,101.1186,76.0849,61.8161,60.0,60.0
16,0.24,0.5266,0.6066,0.2983,0.0316,101.7689,64.4181,57.4713,35.0877,0.8704,0.759,5.7541,-0.5944,-5.2485,4.9758,0.0606,0.0023,1.0,0.1305,0.1027,0.0235,0.0,0.0,68.485,60.3204,200.0,78.2703,74.3822,63.2902,60.0,60.0
17,0.255,0.5268,0.6044,0.25,0.041,95.0,65.7403,52.8736,35.6725,0.8921,0.7535,5.8902,-0.4685,-0.7344,4.7941,0.0,0.0,1.0,0.0,0.1274,0.0337,0.003,0.0,60.0,60.0,200.0,60.0,77.8362,64.7111,60.4137,60.0
18,0.27,0.5257,0.6028,0.25,0.0609,95.0,68.5303,50.0,36.8421,0.906,0.7508,6.0481,-0.3714,1.5557,4.6088,0.0,0.0,1.0,0.0,0.1839,0.0547,0.0051,0.0,60.0,60.0,200.0,60.0,85.7451,67.6608,60.7153,60.0
19,0.285,0.5208,0.6024,0.25,0.0622,95.0063,68.7088,43.1034,38.5965,0.905,0.7516,6.3131,-0.2655,-0.7703,4.3273,0.0,0.0002,1.0,0.0,0.1852,0.0563,0.0073,0.0,60.0,60.0252,200.0,60.0,85.9257,67.8845,61.0248,60.0
20,0.3,0.5145,0.604,0.2683,0.0387,97.5586,65.4147,54.023,32.7485,0.9256,0.7414,6.3989,-0.4215,-6.1108,4.3396,0.0246,0.014,1.0,0.0345,0.112,0.0425,0.0002,0.0,63.4447,61.9609,200.0,64.8288,75.6784,65.9494,60.0312,60.0
21,0.315,0.5116,0.6047,0.2736,0.0443,98.3053,66.197,50.0,36.2573,0.9363,0.7387,6.5884,-0.5515,-6.956,4.2602,0.0742,0.0202,1.0,0.0,0.1147,0.0623,0.0,0.0,70.3885,62.8328,200.0,60.0,76.0641,68.7241,60.0,60.0
22,0.33,0.5109,0.6039,0.2622,0.0513,96.7073,67.188,53.4483,38.0117,0.9529,0.7395,6.8631,-0.6164,-5.1881,4.0847,0.0488,0.0,1.0,0.0,0.133,0.0724,0.0,0.0,66.8292,60.0,200.0,60.0,78.6171,70.1347,60.0,60.0
23,0.345,0.5124,0.6008,0.2505,0.0754,95.0665,70.5595,54.5977,35.0877,0.9701,0.7348,6.972,-0.4984,-1.3723,3.9257,0.0,0.0019,1.0,0.0,0.202,0.0965,0.0032,0.0,60.0,60.2662,200.0,60.0,88.2793,73.5113,60.4475,60.0
24,0.36,0.5097,0.6001,0.25,0.0845,95.0,71.8309,52.8736,43.8596,0.9823,0.747,7.1739,-0.3591,-2.4908,3.6813,0.0,0.0,1.0,0.0,0.2429,0.0915,0.0036,0.0,60.0,60.0,200.0,60.0,94.0053,72.8099,60.5083,60.0
25,0.375,0.5047,0.6021,0.25,0.0692,95.0,69.6921,45.977,35.0877,0.9796,0.7416,7.3527,-0.4588,-6.1335,3.613,0.0,0.0,1.0,0.0,0.2109,0.0661,0.0,0.0,60.0,60.0,200.0,60.0,89.5213,69.2472,60.0,60.0
26,0.39,0.4983,0.6039,0.2683,0.0596,97.568,68.3484,45.4023,40.3509,0.9762,0.7466,7.4373,-0.5959,-11.047,3.6478,0.0006,0.0727,1.0,0.0,0.1786,0.0599,0.0,0.0,60.0891,70.1829,200.0,60.0,85.001,68.3926,60.0,60.0
27,0.405,0.4948,0.6043,0.3164,0.0609,104.294,68.5301,48.8506,40.3509,0.9798,0.751,7.6988,-0.8073,-9.9158,3.63,0.0301,0.2355,1.0,0.0,0.1757,0.068,0.0,0.0,64.2078,92.9681,200.0,60.0,84.6049,69.5155,60.0,60.0
28,0.42,0.495,0.6025,0.3774,0.0682,112.8319,69.5442,53.4483,35.6725,0.9922,0.7464,7.8845,-0.7215,-6.1526,3.447,0.0,0.5095,1.0,0.0,0.1974,0.0753,0.0,0.0,60.0,131.3275,200.0,60.0,87.6344,70.5424,60.0,60.0
29,0.435,0.4944,0.6001,0.4259,0.0895,119.62,72.5236,50.0,35.6725,0.9966,0.7421,8.0176,-0.6069,-2.6183,3.2751,0.0,0.7034,1.0,0.0,0.2593,0.0935,0.005,0.0,60.0,158.48,200.0,60.0,96.3028,73.0886,60.7028,60.0
30,0.45,0.4879,0.5996,0.4695,0.093,125.7282,73.0242,57.4713,44.4444,1.0,0.7547,8.306,-0.4834,-5.3551,3.0062,0.0,0.8779,1.0,0.0,0.2631,0.0872,0.0218,0.0,60.0,182.913,200.0,60.0,96.8313,72.2098,63.0557,60.0
31,0.465,0.4777,0.601,0.5,0.0703,130.0,69.8428,60.9195,33.3333,1.0,0.7453,8.3818,-0.6751,-11.6509,3.1265,0.0,1.0,1.0,0.0,0.1855,0.0653,0.0304,0.0,60.0,200.0,200.0,60.0,85.9707,69.1416,64.2588,60.0
