seed,no_pillar,pillar_y,readout,stim,n_read_left,n_read_right,turn_deg,path_mm,dx_mm,dy_mm,dark_left_mean,dark_right_mean,dark_left_max,dark_right_max,cmd_left_mean,cmd_right_mean,cmd_asym_mean,corr_dark_cmd,corr_dark_cmd_lag1,dist_min_mm,dist_end_mm,elapsed_s,condition
0,True,,population,visual,116,114,-7.384913485318094,14.523527144330256,14.523494682619788,0.03070693753063758,0.017552986325026724,0.008002639811020345,0.04682239145040512,0.032582323998212814,0.6880330541369317,0.6551663358682689,0.03286671826866267,-0.025698864906166508,0.05625469660013729,,,38.95705132499998,без столба
1,True,,population,visual,116,114,-3.3856575445302894,14.554841943850816,14.427503889919528,-1.9210818610449334,0.036484194137156006,0.008792605511844158,0.08181888610124588,0.19088345766067505,0.694198436652457,0.6641083694882474,0.030090067164209734,0.5973155033520526,0.6359610531891884,,,39.717414206,без столба
2,True,,population,visual,116,114,20.22639813605909,14.668135414004944,14.627146659544028,-1.0957997644533304,0.0034939387906342744,0.024458180975634604,0.10266697406768799,0.054157838225364685,0.6528386907025715,0.7037559720637334,-0.05091728136116172,0.5858627143096682,0.5998771320679817,,,39.637713776,без столба
3,True,,population,visual,116,114,-9.945127363466867,14.505178460749224,14.502757394234658,-0.2650097020019687,0.030481434810208156,0.00041656211018562315,0.06275293976068497,0.026831846684217453,0.6926213418036196,0.6478430558656517,0.044778285937967816,0.010341766429168734,0.14164874157094748,,,39.05421222000001,без столба
4,True,,population,visual,116,114,3.7445203335348367,14.49478764972936,14.489317791296024,-0.3981695035777116,0.0,0.023388613660354166,0.0,0.052141305059194565,0.6578585559201119,0.6784287237145956,-0.02057016779448377,-0.20907494272624583,-0.1384995291736996,,,40.06951010600005,без столба
5,True,,population,visual,116,114,3.343754829401547,14.72665157171916,14.604376026185408,1.8937970853814576,0.010270058571259143,0.017635782790603117,0.032072313129901886,0.05910798907279968,0.6650995316880172,0.6986019541005846,-0.03350242241256735,0.16454977263371176,0.2126987088483402,,,38.939052617000016,без столба
6,True,,population,visual,116,114,-5.0258428929003,14.328736894241267,14.312850476745886,0.6745459322432676,0.01241054107027594,0.0036754311074037103,0.03806539624929428,0.027059907093644142,0.6663345211236086,0.6597576661300376,0.006576854993570924,0.0840498218358894,0.11503946617234531,,,39.278907513000036,без столба
7,True,,population,visual,116,114,6.649580462436404,14.632893212697784,14.603746339913961,0.9231232927764499,0.0002566934371134266,0.03386928010266274,0.007593969348818064,0.12035185843706131,0.647394688037738,0.6971874323177529,-0.049792744280014914,0.36308652527135854,0.4466725497708761,,,39.774240468000016,без столба
0,False,3.0,population,visual,116,114,-64.6947267499712,15.627486324711215,14.680270667646212,-5.357983011701538,0.43758687630295756,0.03644582264125347,1.0,0.2724405825138092,0.9365942863581824,0.676782377979473,0.25981190837870943,0.6575902528232414,0.6836746085931465,2.267868389688316,9.294965021117095,39.62787823399992,столб слева
1,False,3.0,population,visual,116,114,-58.1067670499977,14.742650121093442,12.40187434953571,-7.971150808465784,0.22808337113121524,0.009219677483779378,0.6517118215560913,0.19088345766067505,0.8688844054040158,0.6395264920023453,0.22935791340167033,0.7325374029049647,0.7605749571184995,4.8669024061993245,11.691702234040946,39.31535080100002,столб слева
2,False,3.0,population,visual,116,114,-19.858133869417827,16.44838234671141,15.018807734262051,-6.707063147524249,0.14433865098282694,0.0468316450342536,0.44937434792518616,0.09799936413764954,0.8460185519785387,0.7149704636028573,0.1310480883756811,0.7727714870975475,0.8220724595856505,5.661490543275939,11.695433077723395,39.27682502599987,столб слева
3,False,3.0,population,visual,116,114,-71.64770518310364,14.539104178227912,12.7074842089314,-7.064375088082701,0.3392950403271243,0.0065646174096036704,0.9996594190597534,0.14868247509002686,0.8986414157351476,0.6194531017674633,0.27918831396768434,0.7260440266336462,0.7459239700064374,3.6013611995509716,10.380557616378638,39.26912531200014,столб слева
4,False,3.0,population,visual,116,114,-40.07835204460113,15.740750707226638,14.484555186462654,-6.16189044671956,0.21556235173018648,0.04886070683598518,0.7019320130348206,0.09816783666610718,0.8574273370592407,0.6847828319500323,0.17264450510920823,0.7718373586895266,0.7927413725923603,4.487635478223665,11.058182598187726,39.30121124700008,столб слева
5,False,3.0,population,visual,116,114,-63.45495194338527,15.239308812349714,13.843062308484507,-6.3722962110667165,0.38759416341781616,0.015047119706869125,1.0,0.21705561876296997,0.908446971977792,0.6590244570547036,0.24942251492308867,0.7129418992040772,0.7314130015915933,2.8827785165394846,10.102463681452049,39.32657823999989,столб слева
