condition,seed,r_dark_vs_dturn,dark_asym_std,dturn_std,n
без_столба,0,0.4466238839640625,0.03217195071510304,3.007311482833151,99
без_столба,1,0.03157337846350468,0.04706618886279144,2.75059844297203,99
без_столба,2,0.3330198592797099,0.03073961380286537,3.020629567628603,99
без_столба,3,0.363948416083389,0.026365895564796998,2.8339789822285364,99
без_столба,4,0.498944778278605,0.014662319735934407,2.784054242694029,99
без_столба,5,0.3385367533107286,0.03579626765862511,2.340066739656004,99
без_столба,6,0.3362903618277808,0.03136736385403649,2.746691015803987,99
без_столба,7,0.371404497242365,0.032625596484427644,3.117988480821908,99
столб_слева,0,0.12955321392202104,0.3345110335400686,3.349932711612488,99
столб_слева,1,-0.01757261943766924,0.423125167631175,3.0076566816452712,99
столб_слева,2,0.21523453965731743,0.0650869532119961,3.2678700998982806,99
столб_слева,3,-0.19780734040124134,0.1464407136768372,2.6720898316912356,99
столб_слева,4,-0.09098397938072714,0.1354913279174072,3.025510048159674,99
столб_слева,5,-0.2115778746726319,0.3458406472266609,3.159766848556231,99
столб_слева,6,-0.1768909712151897,0.10803447575774026,2.4844792138068663,99
столб_слева,7,-0.25630059780411113,0.3355391806432753,3.3893875567976104,99
столб_справа,0,0.07188024626697215,0.1032745230120033,3.087865178600607,99
столб_справа,1,-0.09228522670941097,0.06062126066966162,2.860955051820973,99
столб_справа,2,-0.17876344326771657,0.07260280668132828,2.8059611028634337,99
столб_справа,3,0.17705752084934434,0.06365324033064906,3.141621467871501,99
столб_справа,4,0.038899360277010436,0.05510939174648441,2.742515209219956,99
столб_справа,5,0.06176443699723037,0.06775320807435543,2.8250596033401214,99
столб_справа,6,0.10390685123308135,0.0941978317964459,3.1019664700851446,99
столб_справа,7,-0.0905558022475416,0.11361049317188668,2.8102686466413265,99
