cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,p9_left_hz_ema,p9_right_hz_ema,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3,perturbed
180,2.7,1,0,1,0,1,1,4,140.0,140.0,2,3,133.3,200.0,130.56,140.39,0.7253,0.78,19.2226,2.9901,1.1693,5.7046,2.5631,0
181,2.715,1,1,1,0,1,1,5,200.0,140.0,3,2,200.0,133.3,140.23,139.41,0.7791,0.7745,19.3657,3.1197,1.0819,0.5524,3.694,0
182,2.73,0,1,0,1,0,1,3,80.0,140.0,3,3,200.0,200.0,148.56,147.85,0.8253,0.8214,19.5908,3.2161,1.1248,1.6834,4.825,0
183,2.745,0,1,1,1,0,1,4,140.0,140.0,2,2,133.3,133.3,146.44,145.83,0.8135,0.8101,19.7093,3.1183,1.1521,2.8144,5.956,0
184,2.76,0,1,1,1,0,1,4,140.0,140.0,2,2,133.3,133.3,144.61,144.09,0.8034,0.8005,19.9213,3.0157,1.0984,3.9454,0.8038,0
185,2.775,1,0,1,0,1,1,4,140.0,140.0,3,2,200.0,133.3,152.33,142.59,0.8463,0.7922,20.1234,3.0975,1.1514,5.0763,1.9347,0
186,2.79,1,0,1,0,1,1,4,140.0,140.0,2,1,133.3,66.7,149.68,132.01,0.8316,0.7334,20.1963,3.2294,1.1254,6.2073,3.0657,0
187,2.805,1,1,1,0,1,1,5,200.0,140.0,3,3,200.0,200.0,156.69,141.48,0.8705,0.786,20.3805,3.4345,1.0955,1.0551,4.1967,0
188,2.82,0,1,0,1,0,1,3,80.0,140.0,1,2,66.7,133.3,144.15,140.35,0.8008,0.7797,20.5502,3.3466,1.1687,2.1861,5.3277,0
189,2.835,0,1,1,1,1,1,5,140.0,200.0,2,2,133.3,133.3,142.64,139.37,0.7925,0.7743,20.6847,3.2563,1.1083,3.317,0.1754,0
190,2.85,1,0,1,0,1,0,3,140.0,80.0,2,2,133.3,133.3,141.35,138.53,0.7853,0.7696,20.9848,3.1516,1.0962,4.448,1.3064,0
191,2.865,1,0,1,0,1,1,4,140.0,140.0,3,2,200.0,133.3,149.52,137.81,0.8306,0.7656,21.0741,3.3099,1.1708,5.579,2.4374,0
192,2.88,1,1,1,0,1,1,5,200.0,140.0,2,3,133.3,200.0,147.26,146.47,0.8181,0.8137,21.2124,3.4416,1.077,0.4268,3.5684,0
193,2.895,0,1,0,1,0,1,3,80.0,140.0,1,2,66.7,133.3,136.04,144.64,0.7558,0.8036,21.4494,3.5813,1.1072,1.5577,4.6993,0
194,2.91,0,1,0,1,0,1,3,80.0,140.0,1,3,66.7,200.0,126.37,152.35,0.7021,0.8464,21.5679,3.4702,1.1563,2.6887,5.8303,0
195,2.925,0,1,1,1,0,1,4,140.0,140.0,2,2,133.3,133.3,127.34,149.7,0.7075,0.8317,21.7742,3.3831,1.093,3.8197,0.6781,0
196,2.94,1,0,1,0,1,0,3,140.0,80.0,3,3,200.0,200.0,137.46,156.71,0.7637,0.8706,21.9925,3.43,1.1454,4.9507,1.8091,0
197,2.955,1,0,1,0,1,1,4,140.0,140.0,3,2,200.0,133.3,146.17,153.45,0.8121,0.8525,22.0679,3.563,1.148,6.0816,2.94,0
198,2.97,1,1,1,0,1,1,5,200.0,140.0,3,1,200.0,66.7,153.67,141.36,0.8537,0.7854,22.2431,3.7627,1.1089,0.9294,4.071,0
199,2.985,0,1,0,1,0,1,3,80.0,140.0,1,3,66.7,200.0,141.55,149.53,0.7864,0.8307,22.4431,3.7206,1.1618,2.0604,5.202,0
200,3.0,0,1,1,1,0,1,4,140.0,140.0,3,2,200.0,133.3,149.69,147.27,0.8316,0.8182,22.5613,3.6158,1.1199,3.1914,0.0498,0
201,3.015,1,0,1,0,1,1,4,140.0,140.0,1,2,66.7,133.3,138.13,145.33,0.7674,0.8074,22.8471,3.4917,1.0917,4.3223,1.1808,0
202,3.03,1,0,1,0,1,1,4,140.0,140.0,3,3,200.0,200.0,146.75,152.95,0.8153,0.8497,22.9523,3.653,1.1731,5.4533,2.3117,0
203,3.045,1,1,1,0,1,1,5,200.0,140.0,3,1,200.0,66.7,154.16,140.93,0.8565,0.7829,23.0719,3.7838,1.0868,0.3011,3.4427,0
204,3.06,0,1,1,1,0,1,4,140.0,140.0,2,2,133.3,133.3,151.26,139.87,0.8404,0.7771,23.3151,3.9634,1.0978,1.4321,4.5737,0
205,3.075,0,1,0,1,0,1,3,80.0,140.0,2,2,133.3,133.3,148.77,138.96,0.8265,0.772,23.4387,3.8356,1.1706,2.5631,5.7046,0
206,3.09,0,1,1,1,0,1,4,140.0,140.0,2,3,133.3,200.0,146.62,147.46,0.8145,0.8192,23.6459,3.7553,1.0873,3.694,0.5524,0
207,3.105,1,0,1,0,1,0,3,140.0,80.0,2,1,133.3,66.7,144.77,136.21,0.8043,0.7567,23.9092,3.7482,1.1225,4.825,1.6834,0
208,3.12,1,0,1,0,1,1,4,140.0,140.0,2,2,133.3,133.3,143.17,135.81,0.7954,0.7545,23.9747,3.8834,1.1488,5.956,2.8144,0
209,3.135,1,0,1,0,1,1,4,140.0,140.0,3,2,200.0,133.3,151.09,135.46,0.8394,0.7526,24.1349,4.0591,1.098,0.8038,3.9454,0
