cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.583,0.6074,0.0012,0.0366,60.1667,65.1289,27.0115,40.3509,0.561,0.7937,3.0891,-0.3783,-3.9902,10.8283,0.0048,0.0,0.0,0.0,0.1465,0.0,0.0,0.0,60.6666,60.0,60.0,60.0,80.5155,60.0,60.0,60.0
1,0.015,0.5834,0.6053,0.0,0.0494,60.0,66.9198,33.3333,36.2573,0.5735,0.786,3.1711,-0.257,0.5638,10.736,0.0,0.0,0.0,0.0,0.1977,0.0,0.0,0.0,60.0,60.0,60.0,60.0,87.6791,60.0,60.0,60.0
2,0.03,0.5826,0.6051,0.0,0.0529,60.0,67.4125,35.6322,42.6901,0.5893,0.7912,3.4272,-0.1162,-0.7765,10.681,0.0,0.0,0.0,0.0,0.2118,0.0,0.0,0.0,60.0,60.0,60.0,60.0,89.65,60.0,60.0,60.0
3,0.045,0.5798,0.6068,0.0103,0.0353,61.4402,64.9423,30.4598,39.7661,0.5934,0.7903,3.5654,-0.2256,-4.0301,10.8293,0.0411,0.0,0.0,0.0,0.1412,0.0,0.0,0.0,65.761,60.0,60.0,60.0,79.7692,60.0,60.0,60.0
4,0.06,0.5766,0.6081,0.0378,0.0252,65.2866,63.5315,36.7816,39.7661,0.6096,0.7895,3.6654,-0.3376,-6.7594,10.9682,0.151,0.0,0.0,0.0,0.1009,0.0,0.0,0.0,81.1463,60.0,60.0,60.0,74.1259,60.0,60.0,60.0
5,0.075,0.5752,0.607,0.047,0.0293,66.5751,64.0987,27.0115,36.2573,0.605,0.7823,3.8835,-0.4688,-4.5495,11.1659,0.1879,0.0,0.0,0.0,0.0996,0.0175,0.0,0.0,86.3003,60.0,60.0,60.0,73.9423,62.4524,60.0,60.0
6,0.09,0.5762,0.6051,0.0321,0.0378,64.4965,65.2957,33.908,38.5965,0.6144,0.7801,3.9778,-0.3303,0.6412,11.0697,0.1285,0.0,0.0,0.0,0.1237,0.0277,0.0,0.0,77.9858,60.0,60.0,60.0,77.3111,63.8716,60.0,60.0
7,0.105,0.5772,0.6043,0.0304,0.0537,64.2563,67.5141,37.3563,44.4444,0.6298,0.789,4.1442,-0.2402,1.4964,11.047,0.1216,0.0,0.0,0.0,0.1744,0.0403,0.0,0.0,77.0253,60.0,60.0,60.0,84.4163,65.6401,60.0,60.0
8,0.12,0.5766,0.6048,0.0302,0.0463,64.226,66.4752,33.3333,32.7485,0.6357,0.7752,4.3942,-0.1755,0.4788,11.0837,0.1207,0.0,0.0,0.0,0.1539,0.0311,0.0,0.0,76.9042,60.0,60.0,60.0,81.5496,64.3513,60.0,60.0
9,0.135,0.5735,0.607,0.051,0.021,67.1444,62.9424,35.0575,33.9181,0.6445,0.765,4.4823,-0.2837,-3.2305,11.218,0.2041,0.0,0.0,0.0,0.0708,0.0132,0.0,0.0,88.5776,60.0,60.0,60.0,69.9166,61.853,60.0,60.0
10,0.15,0.5725,0.6079,0.0667,0.0178,69.3395,62.497,44.2529,43.2749,0.6707,0.7732,4.6346,-0.4033,-2.6734,11.389,0.2668,0.0,0.0,0.0,0.0477,0.0236,0.0,0.0,97.3581,60.0,60.0,60.0,66.6799,63.3081,60.0,60.0
11,0.165,0.5741,0.6077,0.0589,0.0205,68.2508,62.8711,31.6092,33.9181,0.6693,0.7631,4.8203,-0.3788,-0.1583,11.4435,0.2357,0.0,0.0,0.0,0.0649,0.0172,0.0,0.0,93.0031,60.0,60.0,60.0,69.0824,62.4021,60.0,60.0
12,0.18,0.576,0.6055,0.0429,0.0396,66.0064,65.5445,26.4368,30.9942,0.6579,0.7485,4.9129,-0.2778,3.7798,11.3917,0.1716,0.0,0.0,0.0,0.1296,0.0288,0.0,0.0,84.0257,60.0,60.0,60.0,78.1441,64.034,60.0,60.0
13,0.195,0.5768,0.605,0.0349,0.0472,64.8924,66.6057,34.4828,37.4269,0.6634,0.7473,5.1159,-0.1285,3.1425,11.3472,0.1398,0.0,0.0,0.0,0.1632,0.0255,0.0,0.0,79.5698,60.0,60.0,60.0,82.8542,63.5685,60.0,60.0
14,0.21,0.5756,0.6067,0.0396,0.0292,65.5432,64.0868,30.4598,39.7661,0.6605,0.7506,5.2791,-0.2035,0.2699,11.4883,0.1584,0.0,0.0,0.0,0.1124,0.0043,0.0,0.0,82.1729,60.0,60.0,60.0,75.7423,60.6048,60.0,60.0
15,0.225,0.5732,0.6084,0.0591,0.0174,68.2704,62.4417,37.3563,32.7485,0.6714,0.7405,5.371,-0.3105,-3.3535,11.6255,0.2363,0.0,0.0,0.0,0.0698,0.0,0.0,0.0,93.0815,60.0,60.0,60.0,69.7669,60.0,60.0,60.0
