cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.58,0.6011,0.048,0.048,66.7257,66.7259,33.3333,36.8421,0.6938,0.714,2.8886,0.0107,3.6535,10.0287,0.1922,0.0,0.0,0.0,0.0904,0.1018,0.0,0.0,86.9026,60.0,60.0,60.0,72.6567,74.2471,60.0,60.0
1,0.015,0.5822,0.5995,0.0317,0.0584,64.4447,68.1747,41.954,41.5205,0.7109,0.7226,2.9652,0.1361,8.3287,9.911,0.127,0.0,0.0,0.0,0.1324,0.0983,0.0028,0.0,77.7786,60.0,60.0,60.0,78.5359,73.7661,60.3966,60.0
2,0.03,0.583,0.5997,0.0251,0.0629,63.5161,68.801,34.4828,42.1053,0.7115,0.7315,3.145,0.2883,7.5021,9.779,0.1005,0.0,0.0,0.0,0.1626,0.0889,0.0,0.0,74.0645,60.0,60.0,60.0,82.7581,72.446,60.0,60.0
3,0.045,0.5821,0.6019,0.0277,0.0427,63.8743,65.9778,27.0115,36.8421,0.6973,0.7298,3.3395,0.2652,5.4773,9.8266,0.1107,0.0,0.0,0.0,0.113,0.0578,0.0,0.0,75.4973,60.0,60.0,60.0,75.8141,68.097,60.0,60.0
4,0.06,0.5792,0.6042,0.0539,0.023,67.5503,63.2132,37.931,35.0877,0.7061,0.7251,3.4429,0.1663,1.3232,9.9389,0.1816,0.0341,0.0,0.0,0.0504,0.0414,0.0,0.0,85.4293,64.7719,60.0,60.0,67.0553,65.7973,60.0,60.0
5,0.075,0.578,0.6051,0.0654,0.0168,69.1592,62.3581,33.908,28.655,0.706,0.7089,3.6571,0.0254,2.2657,10.1113,0.2617,0.0,0.0,0.0,0.0228,0.0446,0.0,0.0,96.6369,60.0,60.0,60.0,63.1889,66.2434,60.0,60.0
6,0.09,0.5797,0.6041,0.0646,0.0188,69.0463,62.6281,35.0575,33.9181,0.7083,0.704,3.7939,0.1388,5.657,10.023,0.2585,0.0,0.0,0.0,0.0311,0.044,0.0,0.0,96.1852,60.0,60.0,60.0,64.3545,66.1577,60.0,60.0
7,0.105,0.5812,0.6024,0.0599,0.0337,68.3814,64.717,35.0575,33.9181,0.7103,0.6996,3.8838,0.2491,9.1844,9.9312,0.2395,0.0,0.0,0.0,0.0825,0.0523,0.0,0.0,93.5257,60.0,60.0,60.0,71.5519,67.3162,60.0,60.0
8,0.12,0.5811,0.6019,0.0538,0.0334,67.5269,64.6738,36.2069,32.7485,0.7144,0.6934,4.1142,0.4104,7.5427,9.8199,0.2151,0.0,0.0,0.0,0.0917,0.0418,0.0,0.0,90.1078,60.0,60.0,60.0,72.8412,65.8542,60.0,60.0
9,0.135,0.5788,0.6033,0.0665,0.0084,69.3103,61.1771,35.6322,36.2573,0.717,0.6943,4.2281,0.2909,3.1099,9.9615,0.266,0.0,0.0,0.0,0.0207,0.0129,0.0,0.0,97.2414,60.0,60.0,60.0,62.9012,61.8072,60.0,60.0
10,0.15,0.5772,0.6044,0.0936,0.0035,73.1006,60.4864,35.6322,33.3333,0.7194,0.6897,4.3819,0.2105,1.2949,10.0751,0.3743,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,112.4023,60.0,60.0,60.0,60.0,61.9455,60.0,60.0
11,0.165,0.5769,0.6034,0.1122,0.0065,75.7042,60.9059,36.7816,36.8421,0.7238,0.692,4.6256,0.1361,2.8382,10.2073,0.4485,0.0,0.0002,0.0,0.0,0.0259,0.0,0.0,122.7868,60.0,60.0302,60.0,60.0,63.6237,60.0,60.0
12,0.18,0.5787,0.6011,0.1114,0.0216,75.5921,63.0235,39.0805,32.7485,0.7323,0.6865,4.7047,0.2617,7.1068,10.1069,0.4455,0.0,0.0,0.0,0.0426,0.0311,0.0127,0.0,122.3685,60.0,60.0,60.0,65.9617,64.3559,61.7763,60.0
13,0.195,0.5796,0.6003,0.1108,0.0337,75.5138,64.7118,37.3563,32.7485,0.7366,0.6816,4.8618,0.3776,6.973,10.0389,0.4433,0.0,0.0,0.0,0.0897,0.0326,0.0123,0.0,122.0552,60.0,60.0,60.0,72.5622,64.5592,61.7258,60.0
14,0.21,0.5789,0.6015,0.121,0.0227,76.9411,63.1772,45.4023,33.9181,0.7564,0.6793,5.0671,0.4036,4.9112,10.0746,0.4823,0.0,0.0017,0.0,0.0681,0.016,0.0067,0.0,127.5201,60.0,60.2441,60.0,69.5354,62.2366,60.937,60.0
