root_id,flow,super_class,cell_class,cell_sub_class,cell_type,hemibrain_type,side,nerve,top_nt
720575940630006267,intrinsic,central,,,CL208,CL208,left,,acetylcholine
720575940634647732,intrinsic,central,CX,columnar,FC2A,FC2A,left,,serotonin
720575940622156148,intrinsic,central,CX,,PFR,PFR,left,,serotonin
720575940631082808,efferent,descending,,,MDN,MDN,left,CV,acetylcholine
720575940637274852,intrinsic,central,,,VES046,VES046,left,,glutamate
720575940617091890,intrinsic,central,,,PPM1203,PPM1203,left,,dopamine
720575940633618380,intrinsic,central,,,CB0944,,left,,gaba
720575940628732471,intrinsic,central,Kenyon_Cell,KCg,KCg-m,KCg-m,left,,dopamine
720575940616299348,intrinsic,central,CX,,PFNp,PFNp,left,,acetylcholine
720575940637303415,intrinsic,central,CX,columnar,hDeltaE,hDeltaE,left,,acetylcholine
720575940624879678,intrinsic,central,CX,,PEN_a(PEN1),PEN_a(PEN1),left,,acetylcholine
720575940611897837,intrinsic,central,,,CB4237,PLP122,right,,acetylcholine
720575940657919873,intrinsic,central,,,CB0946,SLP324,right,,acetylcholine
720575940623280457,intrinsic,central,CX,columnar,hDeltaA,hDeltaA,left,,acetylcholine
720575940633500084,intrinsic,central,,,LHAV2b2a,LHAV2b2,right,,acetylcholine
720575940646427012,intrinsic,central,,,AVLP267,AVLP267,right,,acetylcholine
720575940619251182,intrinsic,optic,bilateral,,LC14a1,LC14,right,,acetylcholine
720575940622037139,intrinsic,optic,bilateral,,LC14a1,LC14,right,,acetylcholine
720575940620532400,intrinsic,visual_projection,,,LC10c-2,LC10,right,,acetylcholine
720575940645607203,intrinsic,central,,,CL098,CL098,right,,acetylcholine
720575940635013311,intrinsic,central,,,CB0947,,right,,acetylcholine
720575940644623396,intrinsic,central,,,LHAV2b11,LHAV2b11,right,,acetylcholine
720575940636646392,intrinsic,visual_projection,,,LC28c,"LC28a,LC28b",right,,acetylcholine
720575940620707750,intrinsic,central,,,CB0948,,right,,acetylcholine
720575940619511345,intrinsic,central,,,LHAV6a3,,right,,acetylcholine
720575940625703114,intrinsic,central,,,LHAV6a3,,right,,acetylcholine
720575940619434432,intrinsic,visual_projection,,,LC9,LC9,right,,acetylcholine
720575940616153371,efferent,endocrine,pars_intercerebralis,medial_NSC,DH44,PI1,left,NCC,serotonin
720575940636351118,intrinsic,central,,,CRE027,CRE027,left,,glutamate
720575940624019992,intrinsic,visual_projection,,,LTe09,,right,,acetylcholine
720575940655628705,intrinsic,central,,,SMP068,SMP068,left,,glutamate
720575940624860599,intrinsic,central,,,CB0950,,left,,glutamate
720575940622107928,intrinsic,central,,,CB0951,,left,,glutamate
720575940612779237,intrinsic,visual_projection,,,LC18,LC18,right,,acetylcholine
720575940629549049,intrinsic,visual_projection,,,LC9,LC9,right,,acetylcholine
720575940624540967,intrinsic,central,,,CB0952,LHPV3a3_b,right,,acetylcholine
720575940625752451,intrinsic,visual_projection,,,LC6,LC6,right,,acetylcholine
720575940631394519,intrinsic,central,,,PLP037b,PLP037,right,,glutamate
720575940604624998,intrinsic,central,,,PVLP113,PVLP113,right,,gaba
720575940626745392,intrinsic,visual_projection,,,LPLC2,LPLC2,right,,acetylcholine
720575940609058628,intrinsic,visual_projection,,,LC21,LC21,right,,acetylcholine
720575940628337103,intrinsic,visual_projection,,,LC9,LC9,right,,acetylcholine
720575940627623467,intrinsic,visual_projection,,,LC18,LC18,right,,acetylcholine
720575940634721272,intrinsic,visual_projection,,,LC21,LC21,right,,acetylcholine
720575940624911548,intrinsic,central,LHCENT,,LHCENT4,LHCENT4,right,,glutamate
720575940626322746,intrinsic,central,,,"AVLP420_a,AVLP427","AVLP420_a,AVLP427",right,,gaba
720575940627084905,intrinsic,central,,,AVLP244,AVLP244,right,,acetylcholine
720575940620625646,intrinsic,central,,,CB0930,,right,,acetylcholine
720575940623037720,efferent,descending,,,DNge104,,left,CV,gaba
720575940615011782,intrinsic,central,,,CB0955,AVLP377,right,,acetylcholine
720575940638364750,intrinsic,central,,,CB0956,,right,,acetylcholine
720575940627099322,intrinsic,visual_projection,,,MTe27,,right,,acetylcholine
720575940640550563,intrinsic,visual_projection,,,LTe22,hb1159944202,right,,glutamate
720575940618901231,intrinsic,central,,,AVLP116,AVLP116,right,,acetylcholine
720575940624485828,intrinsic,visual_projection,,,MTe51,MC62,right,,acetylcholine
720575940607474443,intrinsic,visual_projection,,,LLPC2,"LLPC2a,LLPC2b,LLPC2c,LLPC2d",right,,acetylcholine
720575940628372613,efferent,motor,brain_motor_neuron,neck_motor_neuron,CB0004,,left,ON,acetylcholine
720575940637656974,intrinsic,central,,,CB0623,hb1416796844,left,,dopamine
720575940629543409,efferent,descending,,,DNg68,,left,CV,acetylcholine
720575940618666142,efferent,descending,,,DNg33,,left,CV,acetylcholine
720575940626051514,intrinsic,central,,,OA-VUMa3,,center,,octopamine
720575940624539993,intrinsic,central,,,CB0957,,left,,acetylcholine
720575940625711626,intrinsic,central,,,CB0958c,,left,,glutamate
720575940625345328,intrinsic,central,,,CB3913,,center,,gaba
720575940607541955,intrinsic,central,,,CB0959,,right,,glutamate
720575940627466746,intrinsic,central,,,FLA101f_b,,left,,acetylcholine
720575940611768803,intrinsic,central,,,CB0961,,right,,glutamate
720575940643524808,intrinsic,central,,,CB0962a,,right,,glutamate
720575940625799513,efferent,motor,brain_motor_neuron,crop_motor_neuron,CEM,,left,PhN,glutamate
720575940629239934,intrinsic,central,,,CB0005,,left,,gaba
720575940638109668,efferent,descending,,,DNg89,,left,CV,gaba
720575940637742150,intrinsic,central,,,CB0963,,left,,acetylcholine
720575940638707901,intrinsic,central,,,,,center,,
720575940630697078,efferent,descending,,,DNg80,,left,CV,glutamate
720575940619588568,intrinsic,central,,,CB0964,,left,,gaba
720575940610610841,efferent,descending,,,DNg26,,right,CV,serotonin
720575940631942341,intrinsic,central,,,OA-VUMa2,OA-VUMa2,center,,octopamine
720575940635690391,intrinsic,central,,,,,left,,glutamate
720575940612866410,intrinsic,central,,,CB0695,,left,,gaba
720575940613635737,intrinsic,central,,,OA-VUMa6,"OA-VUMa6,OA-VUMa7",center,,octopamine
720575940632780359,intrinsic,visual_projection,,,aMe1,aMe1,right,,gaba
720575940615906388,intrinsic,central,,,WED057,WED057,right,,gaba
720575940630622509,intrinsic,central,,,WED057,WED057,right,,gaba
720575940622438621,intrinsic,central,,,CB0965,,right,,glutamate
720575940628899454,intrinsic,central,,,SLP375,SLP375,right,,acetylcholine
720575940612291682,intrinsic,central,,,CB0966,,right,,acetylcholine
720575940627800728,intrinsic,visual_centrifugal,,,cL08,,left,,gaba
720575940625586122,intrinsic,central,ALPN,multiglomerular,M_smPNm1,M_smPNm1,left,,gaba
720575940659400577,intrinsic,central,ALPN,uniglomerular,DA3_adPN,DA3_adPN,left,,acetylcholine
720575940636455280,intrinsic,central,CX,,ExR5,ExR5,left,,glutamate
720575940629262380,intrinsic,central,,,CB0967,,left,,glutamate
720575940615281361,intrinsic,visual_centrifugal,,,LT36,LT36,left,,gaba
720575940612468594,intrinsic,central,ALPN,multiglomerular,M_smPN6t2,M_smPN6t2,left,,gaba
720575940618870881,efferent,descending,,,DNpe009,PS226,left,CV,acetylcholine
720575940618771371,intrinsic,central,,,"CL228,SMP491","CL228,SMP491",left,,acetylcholine
720575940625962152,intrinsic,central,CX,columnar,hDeltaD,hDeltaD,left,,acetylcholine
720575940621887841,intrinsic,central,,,SMP490,SMP490,left,,acetylcholine
720575940614186090,intrinsic,central,,,CB0968,,right,,acetylcholine
720575940638890355,intrinsic,central,,,aSP-g2,aSP-g2,right,,acetylcholine
720575940638098485,intrinsic,central,,,AVLP026,AVLP026,right,,acetylcholine
720575940636696286,intrinsic,central,,,SMP331b,SMP331,left,,acetylcholine
720575940616182155,intrinsic,central,,,PVLP002,PVLP002,right,,acetylcholine
720575940632379467,intrinsic,central,,,CB0969,SLP042,right,,acetylcholine
720575940641782432,intrinsic,central,,,SMP281,SMP281,right,,glutamate
720575940624574922,intrinsic,central,Kenyon_Cell,,KCapbp-ap1,KCa'b'-ap1,right,,dopamine
720575940638549888,intrinsic,central,,,CB0971,,right,,glutamate
720575940634166938,intrinsic,central,,,SLP030,SLP030,right,,glutamate
720575940629845442,intrinsic,central,,,"PS164,PS165","PS164,PS165",left,,gaba
720575940636135543,intrinsic,central,Kenyon_Cell,KCg,KCg-m,KCg-m,right,,dopamine
720575940637264617,intrinsic,central,,,SLP248,SLP248,right,,glutamate
720575940622476010,intrinsic,central,,,CB0972,,right,,acetylcholine
720575940628307706,intrinsic,central,CX,,PFNp,PFNp,left,,acetylcholine
720575940622629193,intrinsic,central,Kenyon_Cell,KCab,KCab,KCab-s,left,,dopamine
720575940613237758,intrinsic,central,Kenyon_Cell,KCg,KCg-m,KCg-m,left,,dopamine
720575940644238496,intrinsic,central,Kenyon_Cell,,KCapbp-m,KCa'b'-m,left,,dopamine
720575940631768121,intrinsic,central,,,SMP528,SMP528,left,,glutamate
720575940611520947,intrinsic,central,,,CB0973,,left,,glutamate
720575940617687067,intrinsic,central,,,SLP286,SLP286,left,,glutamate
720575940621167030,intrinsic,central,Kenyon_Cell,KCg,KCg-m,KCg-m,left,,dopamine
720575940645303918,intrinsic,central,Kenyon_Cell,,KCapbp-m,KCa'b'-m,left,,dopamine
720575940614395538,intrinsic,visual_projection,,,LLPC2,"LLPC2a,LLPC2b,LLPC2c,LLPC2d",right,,acetylcholine
720575940637171684,intrinsic,central,Kenyon_Cell,KCab,KCab,KCab-s,left,,dopamine
720575940630715979,intrinsic,central,,,SMP482,SMP482,left,,acetylcholine
720575940614684822,intrinsic,central,,,LAL022,LAL022,left,,acetylcholine
720575940615055144,intrinsic,central,,,CL152,CL152,left,,glutamate
720575940622617748,intrinsic,central,,,CB0975,,left,,acetylcholine
720575940617273233,intrinsic,central,,,SMP091,"SMP091,CL041",left,,gaba
720575940608145026,efferent,descending,,,DNpe027,PS166,left,CV,acetylcholine
720575940627584262,intrinsic,central,Kenyon_Cell,KCab,KCab,KCab-c,left,,dopamine
720575940621187166,intrinsic,central,Kenyon_Cell,KCab,KCab,KCab-m,left,,dopamine
720575940639018147,intrinsic,central,Kenyon_Cell,KCg,KCg-m,KCg-m,left,,dopamine
720575940622606315,intrinsic,central,Kenyon_Cell,,KCapbp-m,KCa'b'-m,left,,dopamine
720575940627048522,intrinsic,central,Kenyon_Cell,,KCab-p,KCab-p,left,,dopamine
720575940621136519,intrinsic,central,DAN,,PAM11,PAM11,left,,dopamine
720575940637078106,intrinsic,central,,,CB0007,,left,,acetylcholine
720575940619347777,intrinsic,central,,,CB0976,,left,,glutamate
720575940612725466,intrinsic,central,,,CL153,CL153,left,,glutamate
720575940619146837,intrinsic,central,Kenyon_Cell,,KCapbp-ap2,KCa'b'-ap2,left,,dopamine
720575940632648612,intrinsic,central,,,CB0008,,left,,gaba
720575940633774187,intrinsic,central,,,CB0977,,left,,glutamate
720575940626871025,intrinsic,central,,,CB0978,,left,,gaba
720575940605298121,intrinsic,central,,,CB0979a,,left,,gaba
720575940636492358,intrinsic,central,,,CB0980,,left,,gaba
720575940625699992,intrinsic,central,,,CB0979b,,left,,gaba
720575940619905916,efferent,descending,,,DNge085,,left,CV,gaba
720575940625306603,efferent,descending,,,DNge011,,left,CV,acetylcholine
720575940612014131,efferent,descending,,,DNg02_a,,left,CV,serotonin
720575940610499523,intrinsic,central,,,CB0981,,left,,gaba
720575940620249471,intrinsic,central,,,CB0982,,left,,gaba
720575940639235300,intrinsic,central,,,CB0983,,left,,acetylcholine
720575940623478115,intrinsic,central,,,CB0009,,left,,gaba
720575940620804566,efferent,descending,,,DNge094,,left,CV,acetylcholine
720575940629701737,intrinsic,central,,,CB0010,,left,,gaba
720575940624877360,efferent,descending,,,DNg102,,left,CV,gaba
720575940627444490,intrinsic,central,,,CB0011,,left,,gaba
720575940614843275,efferent,descending,,,DNg82,,left,CV,acetylcholine
720575940628393042,intrinsic,central,,,CB0984,,left,,gaba
720575940628017563,intrinsic,central,,,CB0985,,left,,acetylcholine
720575940634341587,intrinsic,central,,,CB0986,,left,,gaba
720575940617225565,intrinsic,central,CX,tangential,FB5L,FB5L,left,,glutamate
720575940610773782,intrinsic,central,ALPN,multiglomerular,VP4+_vPN,VP4+_vPN,left,,gaba
720575940611462885,efferent,descending,,,DNg92_a,,left,CV,acetylcholine
720575940614730914,efferent,descending,,,DNg75,hb1874217622,left,CV,acetylcholine
720575940606185090,intrinsic,central,,,CB0987,,left,,glutamate
720575940616853853,intrinsic,central,,,CB0988,,left,,acetylcholine
720575940626229337,efferent,descending,,,DNge015,,left,CV,acetylcholine
720575940624437029,intrinsic,central,,,CB0989,,left,,gaba
720575940612058543,efferent,descending,,,DNge145,,left,CV,acetylcholine
720575940632626402,efferent,descending,,,DNge111,,left,CV,acetylcholine
720575940639159797,efferent,descending,,,DNg51,,left,CV,acetylcholine
720575940611881139,efferent,descending,,,DNge068,,left,CV,glutamate
720575940622579967,efferent,descending,,,DNg29,,left,CV,acetylcholine
720575940626075517,intrinsic,central,,,CB0696,,left,,gaba
720575940621082111,efferent,descending,,,DNge061,,left,CV,
720575940625187940,efferent,descending,,,DNge091,,left,CV,acetylcholine
