cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.0165,0.0136,0.0072,0.0075,2.7309,2.7773,11.4943,12.2807,0.2361,0.24,2.9195,-0.2271,-6.2482,7.4225,0.0,0.0128,0.0121,0.004,0.015,0.0,0.0,0.015,1.5013,3.6769,3.5591,2.1865,4.0536,1.5013,1.5013,4.0529
1,0.015,0.0191,0.0146,0.006,0.0073,2.7092,2.9309,0.5747,3.5088,0.2148,0.2237,3.0396,-0.2234,-5.2526,7.3069,0.0,0.0086,0.0102,0.0054,0.0125,0.0,0.0,0.0168,1.6834,3.1372,3.4207,2.5957,3.8122,1.6834,1.6834,4.5445
2,0.03,0.0189,0.0155,0.0048,0.0063,2.5375,2.7952,0.0,1.1696,0.1943,0.2046,3.0467,-0.339,-10.037,7.3361,0.0,0.0053,0.0086,0.0053,0.0081,0.0,0.0,0.0172,1.7207,2.627,3.1783,2.624,3.0937,1.7207,1.7207,4.6455
3,0.045,0.0188,0.0159,0.0039,0.0055,2.3976,2.6707,0.5747,1.7544,0.177,0.1884,3.1397,-0.4152,-9.7484,7.273,0.0,0.0021,0.0077,0.0058,0.0046,0.0,0.0,0.0174,1.7366,2.0976,3.041,2.7153,2.5213,1.7366,1.7366,4.6883
4,0.06,0.0193,0.0169,0.0037,0.005,2.4427,2.6662,1.7241,5.2632,0.1635,0.1802,3.2171,-0.4202,-9.1012,7.2018,0.0,0.0003,0.0078,0.0068,0.002,0.0,0.0001,0.0181,1.8091,1.8532,3.1405,2.968,2.149,1.8091,1.8224,4.8842
5,0.075,0.0195,0.0166,0.0037,0.0053,2.4296,2.7015,1.7241,4.6784,0.1513,0.1718,3.2531,-0.3768,-7.3179,7.1533,0.0,0.0,0.0077,0.007,0.0025,0.0,0.0005,0.0181,1.8057,1.8057,3.1105,2.9966,2.237,1.8057,1.8883,4.875
6,0.09,0.0199,0.0164,0.0037,0.0056,2.4499,2.7629,2.2989,2.924,0.1414,0.1609,3.3309,-0.3314,-7.1413,7.0649,0.0,0.0,0.0079,0.007,0.0024,0.0,0.0017,0.0182,1.817,1.817,3.1628,3.0029,2.2193,1.817,2.11,4.9055
7,0.105,0.0204,0.0166,0.0034,0.0056,2.4368,2.8105,2.2989,5.848,0.1324,0.1564,3.3686,-0.3639,-8.1067,7.0401,0.0,0.0,0.0068,0.007,0.0008,0.0,0.0033,0.0185,1.8504,1.8504,3.0021,3.0441,1.9898,1.8504,2.4059,4.9959
8,0.12,0.0202,0.0168,0.0032,0.0057,2.3955,2.8192,2.8736,7.6023,0.1255,0.1557,3.3846,-0.4021,-8.965,7.038,0.0,0.0,0.006,0.0069,0.0,0.0,0.0044,0.0185,1.8472,1.8472,2.8662,3.0215,1.8472,1.8472,2.5952,4.9872
9,0.135,0.0202,0.0172,0.0033,0.0061,2.4287,2.9038,1.7241,2.3392,0.1169,0.1452,3.4344,-0.4381,-8.639,7.0037,0.0,0.0,0.0059,0.0073,0.0,0.0,0.0056,0.0187,1.8698,1.8698,2.8696,3.1058,1.8698,1.8698,2.8272,5.0482
10,0.15,0.0206,0.0173,0.0034,0.0062,2.4666,2.9531,0.5747,1.1696,0.1069,0.1336,3.4609,-0.4171,-7.5199,6.9716,0.0,0.0,0.0058,0.0077,0.0,0.0,0.006,0.0189,1.8939,1.8939,2.8775,3.2011,1.8939,1.8939,2.911,5.1134
11,0.165,0.0208,0.017,0.0033,0.0063,2.4553,2.9618,1.7241,6.4327,0.1001,0.1328,3.4935,-0.3913,-6.9378,6.932,0.0,0.0,0.0058,0.0076,0.0,0.0,0.0064,0.0189,1.8875,1.8875,2.8727,3.1736,1.8875,1.8875,2.9762,5.0961
12,0.18,0.0211,0.017,0.0034,0.0066,2.4771,3.0248,4.023,6.4327,0.0984,0.1322,3.5236,-0.391,-6.8701,6.9037,0.0,0.0,0.0059,0.0076,0.0,0.0,0.0072,0.0191,1.9066,1.9066,2.9022,3.1933,1.9066,1.9066,3.1386,5.1476
13,0.195,0.0211,0.0172,0.0032,0.0068,2.4656,3.0671,1.7241,2.3392,0.0924,0.1239,3.5461,-0.4054,-7.6856,6.8876,0.0,0.0,0.0055,0.0075,0.0,0.0,0.008,0.0192,1.9152,1.9152,2.8473,3.1846,1.9152,1.9152,3.2672,5.1709
14,0.21,0.0211,0.0173,0.0032,0.0069,2.4637,3.0979,1.1494,1.1696,0.0859,0.1143,3.5535,-0.429,-8.2092,6.8889,0.0,0.0,0.0054,0.0075,0.0,0.0,0.0086,0.0192,1.9182,1.9182,2.8322,3.1862,1.9182,1.9182,3.3762,5.179
15,0.225,0.0212,0.0176,0.0033,0.0071,2.4949,3.1387,2.2989,1.7544,0.0822,0.1067,3.582,-0.4289,-7.5659,6.8622,0.0,0.0,0.0054,0.0078,0.0,0.0,0.0089,0.0194,1.9367,1.9367,2.8511,3.2553,1.9367,1.9367,3.4524,5.229
