pair,side,ref_cc1,ref_cc2
Mi1/Tm1,left,0.9990141333848712,0.9984298102814937
Mi1/Tm1,right,0.9986312642791144,0.9971146235732729
Mi1/Mi4,left,0.9988145813595862,0.9982928528222851
Mi1/Mi4,right,0.9985404739762974,0.9975158796687101
T4a/T4c,left,0.9994318051395918,0.9978379812409682
T4a/T4c,right,0.9993467960203599,0.9975745802369459
Mi1/T4c,left,0.9873240144869191,0.9756195316015437
Mi1/T4c,right,0.9919280381250983,0.9741896856024823
