cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.6137,0.5948,0.0,0.1747,60.0,84.4542,27.0115,45.0292,0.5571,0.8646,2.766,-0.0668,2.1911,705.201,0.0,0.0,0.0,0.0,0.5382,0.1227,0.0378,0.0,60.0,60.0,60.0,60.0,135.3463,77.1751,65.2953,60.0
1,0.015,0.6118,0.596,0.0,0.1585,60.0,82.1855,36.2069,47.9532,0.5752,0.87,3.0432,0.038,0.8308,704.9313,0.0,0.0,0.0,0.0,0.4883,0.1066,0.039,0.0,60.0,60.0,60.0,60.0,128.3589,74.9296,65.4537,60.0
2,0.03,0.6083,0.5992,0.0,0.1163,60.0,76.2887,31.0345,50.2924,0.5814,0.8791,3.1481,-0.0883,-3.6338,704.9469,0.0,0.0,0.0,0.0,0.3565,0.0793,0.0296,0.0,60.0,60.0,60.0,60.0,109.9081,71.0991,64.1476,60.0
3,0.045,0.6061,0.6013,0.0023,0.0965,60.3158,73.5098,31.6092,42.6901,0.5881,0.8734,3.3148,-0.1933,-3.1396,704.9039,0.0,0.009,0.0,0.0,0.2902,0.0798,0.016,0.0,60.0,61.263,60.0,60.0,100.6303,71.1669,62.2421,60.0
4,0.06,0.6059,0.601,0.0,0.0958,60.0,73.4126,24.1379,40.9357,0.5795,0.8651,3.5069,-0.211,-0.8211,704.7811,0.0,0.0,0.0,0.0,0.2745,0.0897,0.019,0.0,60.0,60.0,60.0,60.0,98.4313,72.5626,62.6564,60.0
5,0.075,0.6068,0.6,0.0,0.1004,60.0,74.0558,32.1839,45.614,0.5875,0.8661,3.5919,-0.0893,4.1525,704.6349,0.0,0.0,0.0,0.0,0.2875,0.0929,0.0212,0.0,60.0,60.0,60.0,60.0,100.2472,73.0071,62.969,60.0
6,0.09,0.6065,0.6008,0.0,0.096,60.0,73.4332,28.1609,41.5205,0.5869,0.8596,3.8013,0.0556,3.4232,704.3845,0.0,0.0,0.0,0.0,0.292,0.086,0.0058,0.0,60.0,60.0,60.0,60.0,100.8806,72.0377,60.8144,60.0
7,0.105,0.6046,0.6032,0.0003,0.0671,60.0447,69.389,26.4368,38.0117,0.5829,0.8472,4.0166,0.028,1.7212,704.2525,0.0,0.0013,0.0,0.0,0.208,0.0602,0.0,0.0,60.0,60.1787,60.0,60.0,89.1217,68.4344,60.0,60.0
8,0.12,0.6012,0.6062,0.0238,0.038,63.3269,65.3141,35.6322,43.8596,0.5974,0.8467,4.1091,-0.0812,-1.5086,704.2649,0.0669,0.0282,0.0,0.0,0.1135,0.0383,0.0,0.0,69.3626,63.9451,60.0,60.0,75.8895,65.3671,60.0,60.0
9,0.135,0.6002,0.6067,0.0311,0.0313,64.3571,64.3795,34.4828,29.2398,0.6082,0.8196,4.2881,-0.233,-0.3397,704.2466,0.0902,0.0343,0.0,0.0,0.0776,0.0475,0.0,0.0,72.6306,64.7977,60.0,60.0,70.87,66.6482,60.0,60.0
10,0.15,0.6016,0.6061,0.0128,0.0313,61.796,64.377,35.0575,33.3333,0.6192,0.8025,4.4004,-0.0987,4.4731,704.0722,0.0433,0.008,0.0,0.0,0.0782,0.0469,0.0,0.0,66.0666,61.1176,60.0,60.0,70.9443,66.5636,60.0,60.0
11,0.165,0.6027,0.6045,0.0081,0.0486,61.1366,66.8038,35.0575,38.0117,0.6291,0.7956,4.505,0.0003,7.4882,703.9283,0.0301,0.0024,0.0,0.0,0.1332,0.0612,0.0,0.0,64.2131,60.3334,60.0,60.0,78.6466,68.5687,60.0,60.0
12,0.18,0.6026,0.6039,0.0053,0.0502,60.7454,67.0244,27.0115,34.5029,0.6222,0.7829,4.7662,0.1551,6.6803,703.6344,0.0112,0.0101,0.0,0.0,0.1401,0.0548,0.0058,0.0,61.5703,61.4114,60.0,60.0,79.6202,67.6674,60.8101,60.0
13,0.195,0.6006,0.6057,0.015,0.0248,62.0943,63.4746,32.7586,35.0877,0.6273,0.7725,4.8789,0.051,2.8356,703.6291,0.0352,0.0246,0.0,0.0,0.0568,0.0313,0.0111,0.0,64.9349,63.4422,60.0,60.0,67.9568,64.3846,61.5569,60.0
14,0.21,0.5993,0.6071,0.0289,0.0149,64.046,62.0921,28.7356,39.7661,0.624,0.7717,5.0229,-0.0305,2.0948,703.5857,0.0766,0.039,0.0,0.0,0.0236,0.0312,0.005,0.0,70.7206,65.4632,60.0,60.0,63.3007,64.3625,60.7054,60.0
15,0.225,0.5997,0.6059,0.0211,0.0255,62.958,63.5642,31.6092,28.655,0.6267,0.7506,5.2342,-0.08,4.0786,703.4722,0.059,0.0255,0.0,0.0,0.035,0.0477,0.0191,0.0,68.2563,63.5757,60.0,60.0,64.9018,66.6842,62.6709,60.0
16,0.24,0.6014,0.604,0.0,0.0394,60.0023,65.511,31.6092,35.0877,0.6291,0.7433,5.3063,0.0447,8.6684,703.3329,0.0,0.0001,0.0,0.0,0.0747,0.0517,0.0311,0.0,60.0,60.0094,60.0,60.0,70.4553,67.2347,64.3542,60.0
17,0.255,0.6021,0.6041,0.0025,0.0448,60.356,66.2672,26.4368,39.7661,0.6211,0.7452,5.4717,0.1742,8.5633,703.1245,0.0,0.0102,0.0,0.0,0.1115,0.0512,0.0164,0.0,60.0,61.4239,60.0,60.0,75.6094,67.1629,62.2964,60.0
18,0.27,0.6016,0.6058,0.0039,0.0276,60.5433,63.8701,31.6092,30.9942,0.624,0.7309,5.6816,0.194,7.0351,702.9628,0.0029,0.0126,0.0,0.0,0.0743,0.0326,0.0036,0.0,60.4101,61.763,60.0,60.0,70.4034,64.5689,60.5081,60.0
19,0.285,0.599,0.608,0.0242,0.0065,63.3874,60.9065,34.4828,39.1813,0.6323,0.733,5.7805,0.1044,3.7037,702.957,0.0626,0.0342,0.0,0.0,0.0072,0.0187,0.0,0.0,68.7614,64.7882,60.0,60.0,61.0039,62.6221,60.0,60.0
20,0.3,0.5984,0.6086,0.031,0.0076,64.3394,61.067,36.2069,30.4094,0.6432,0.7188,5.9546,-0.0173,4.4795,702.9211,0.0922,0.0318,0.0,0.0,0.0,0.0305,0.0,0.0,72.9023,64.4552,60.0,60.0,60.0,64.2679,60.0,60.0
21,0.315,0.6002,0.6078,0.0127,0.0096,61.779,61.3431,28.1609,29.2398,0.6373,0.7038,6.0826,0.0905,7.8231,702.7545,0.0498,0.001,0.0,0.0,0.0042,0.0342,0.0,0.0,66.9697,60.1464,60.0,60.0,60.5865,64.7861,60.0,60.0
22,0.33,0.6017,0.6059,0.0061,0.0281,60.8499,63.9397,28.7356,43.2749,0.6331,0.7159,6.1614,0.1935,11.2689,702.6259,0.0243,0.0,0.0,0.0,0.0629,0.0497,0.0,0.0,63.3998,60.0,60.0,60.0,68.8069,66.952,60.0,60.0
23,0.345,0.602,0.6052,0.0016,0.0326,60.218,64.5708,29.3103,40.3509,0.6303,0.7215,6.3776,0.3601,10.0825,702.3554,0.0062,0.0,0.0,0.0,0.0845,0.0461,0.0,0.0,60.8719,60.0,60.0,60.0,71.8341,66.4489,60.0,60.0
24,0.36,0.6005,0.6064,0.0096,0.0125,61.3408,61.7563,27.5862,34.5029,0.6245,0.7159,6.5037,0.268,6.3391,702.3323,0.027,0.0113,0.0,0.0,0.0253,0.0232,0.0016,0.0,63.7864,61.5769,60.0,60.0,63.5488,63.246,60.2306,60.0
25,0.375,0.5992,0.6074,0.0246,0.0067,63.4507,60.9351,29.3103,26.9006,0.6226,0.6969,6.6373,0.1944,4.4784,702.2908,0.0759,0.0227,0.0,0.0,0.0024,0.0243,0.0,0.0,70.6305,63.1722,60.0,60.0,60.3418,63.3987,60.0,60.0
26,0.39,0.5993,0.6061,0.0199,0.017,62.7864,62.383,40.2299,33.9181,0.6423,0.6926,6.8608,0.1258,6.0175,702.1826,0.0686,0.011,0.0,0.0,0.0102,0.0411,0.0168,0.0,69.609,61.5367,60.0,60.0,61.4311,65.7499,62.351,60.0
27,0.405,0.601,0.6038,0.0011,0.0339,60.1568,64.7506,31.0345,39.7661,0.6421,0.6993,6.9285,0.2577,10.6117,702.0412,0.0045,0.0,0.0,0.0,0.052,0.0453,0.0384,0.0,60.6273,60.0,60.0,60.0,67.2821,66.3468,65.3736,60.0
28,0.42,0.602,0.6029,0.0,0.0481,60.0,66.7308,31.0345,35.6725,0.6419,0.698,7.0707,0.3701,10.8074,701.8613,0.0,0.0,0.0,0.0,0.1041,0.0507,0.0375,0.0,60.0,60.0,60.0,60.0,74.5728,67.1034,65.2471,60.0
29,0.435,0.6017,0.6035,0.0,0.0411,60.0,65.7568,21.2644,36.8421,0.6226,0.6989,7.2771,0.4343,9.397,701.6707,0.0,0.0,0.0,0.0,0.0868,0.0389,0.0388,0.0,60.0,60.0,60.0,60.0,72.1501,65.4445,65.4327,60.0
30,0.45,0.5995,0.6054,0.0114,0.0202,61.5933,62.823,33.3333,35.6725,0.6288,0.6975,7.3762,0.3504,5.9873,701.6608,0.0386,0.0015,0.0054,0.0,0.0218,0.0299,0.029,0.0,65.4001,60.2131,60.7599,60.0,63.0461,64.188,64.0579,60.0
31,0.465,0.599,0.6061,0.0188,0.0186,62.6344,62.6093,29.3103,33.9181,0.6265,0.6931,7.5426,0.2502,6.4128,701.6154,0.0651,0.0077,0.0025,0.0,0.0055,0.0474,0.0217,0.0,69.1093,61.0729,60.3553,60.0,60.7708,66.6339,63.0323,60.0
32,0.48,0.6008,0.6057,0.007,0.0227,60.9849,63.1819,36.7816,38.0117,0.639,0.6966,7.6961,0.3295,8.9821,701.4511,0.0281,0.0,0.0,0.0,0.0273,0.0462,0.0174,0.0,63.9396,60.0,60.0,60.0,63.8244,66.4659,62.4374,60.0
33,0.495,0.6024,0.6038,0.0,0.0421,60.0,65.8925,37.3563,42.1053,0.6515,0.7073,7.7727,0.4342,12.5387,701.3228,0.0,0.0,0.0,0.0,0.0881,0.0628,0.0175,0.0,60.0,60.0,60.0,60.0,72.328,68.7938,62.448,60.0
34,0.51,0.6027,0.6034,0.0,0.0482,60.0,66.7481,31.0345,42.6901,0.6505,0.718,7.9499,0.6045,11.6123,701.0771,0.0,0.0,0.0,0.0,0.1151,0.0616,0.016,0.0,60.0,60.0,60.0,60.0,76.1167,68.6297,62.2459,60.0
35,0.525,0.6017,0.6052,0.004,0.0268,60.5651,63.7545,34.4828,40.3509,0.6562,0.7234,8.0958,0.5305,8.1668,701.0274,0.0,0.0161,0.0,0.0,0.0612,0.0368,0.0093,0.0,60.0,62.2606,60.0,60.0,68.5638,65.1459,61.3084,60.0
