cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,p9_left_hz_ema,p9_right_hz_ema,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3
184,2.76,0,1,1,1,1,1,5,135.0,200.0,2,3,133.3,200.0,141.9,141.5,0.7883,0.7861,30.3919,5.1671,1.0992,3.9391,0.7975
185,2.775,1,0,1,0,1,0,3,135.0,70.0,3,1,200.0,66.7,149.99,131.08,0.8333,0.7282,30.5896,5.2483,1.1517,5.0701,1.9285
186,2.79,1,0,1,0,1,1,4,135.0,135.0,2,1,133.3,66.7,147.67,122.11,0.8204,0.6784,30.6608,5.375,1.1264,6.201,3.0594
187,2.805,1,1,1,1,1,1,6,200.0,200.0,2,3,133.3,200.0,145.67,132.96,0.8093,0.7386,30.8281,5.5727,1.094,1.0488,4.1904
188,2.82,0,1,1,1,0,1,4,135.0,135.0,2,2,133.3,133.3,143.95,133.01,0.7997,0.7389,30.9924,5.4895,1.1685,2.1798,5.3214
189,2.835,0,1,1,1,1,1,5,135.0,200.0,2,2,133.3,133.3,142.48,133.05,0.7915,0.7392,31.1232,5.4063,1.1122,3.3108,0.1692
190,2.85,1,0,1,0,1,0,3,135.0,70.0,2,1,133.3,66.7,141.2,123.81,0.7845,0.6878,31.4164,5.3097,1.0989,4.4417,1.3002
191,2.865,1,0,1,0,1,1,4,135.0,135.0,2,2,133.3,133.3,140.11,125.13,0.7784,0.6952,31.5009,5.4588,1.167,5.5727,2.4311
192,2.88,1,0,1,0,1,1,4,135.0,135.0,3,2,200.0,133.3,148.45,126.28,0.8247,0.7015,31.6308,5.5811,1.0749,0.4205,3.5621
193,2.895,0,1,0,1,0,1,3,70.0,135.0,1,2,66.7,133.3,137.06,127.26,0.7614,0.707,31.8454,5.7089,1.1097,1.5515,4.6931
194,2.91,0,1,1,1,0,1,4,135.0,135.0,2,3,133.3,200.0,136.54,137.39,0.7585,0.7633,31.9604,5.6,1.165,2.6825,5.824
195,2.925,0,1,1,1,0,1,4,135.0,135.0,3,2,200.0,133.3,145.38,136.83,0.8077,0.7601,32.1671,5.5161,1.0969,3.8134,0.6718
196,2.94,1,0,1,0,1,1,4,135.0,135.0,1,3,66.7,200.0,134.41,145.63,0.7467,0.809,32.3914,5.5537,1.1419,4.9444,1.8028
197,2.955,1,0,1,0,1,1,4,135.0,135.0,1,2,66.7,133.3,124.98,143.91,0.6943,0.7995,32.4547,5.6827,1.1489,6.0754,2.9338
198,2.97,1,0,1,0,1,1,4,135.0,135.0,3,2,200.0,133.3,135.43,142.44,0.7524,0.7913,32.6165,5.8725,1.106,0.9232,4.0648
199,2.985,0,1,1,1,0,1,4,135.0,135.0,2,2,133.3,133.3,135.14,141.17,0.7508,0.7843,32.8075,5.8319,1.1591,2.0541,5.1957
