cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.5268,0.5994,0.2713,0.0,97.981,60.0,48.8506,37.4269,0.9917,0.7407,2.6274,-0.5368,-16.4423,7.3921,0.3233,0.1021,0.0057,0.6541,0.0,0.0,0.0,0.0,105.2587,74.2897,60.7961,151.5796,60.0,60.0,60.0,60.0
1,0.015,0.5296,0.601,0.2333,0.0,92.6607,60.0,48.2759,33.9181,0.9906,0.734,2.845,-0.7544,-14.9924,7.1947,0.315,0.0834,0.0067,0.5281,0.0,0.0,0.0,0.0,104.1004,71.6737,60.9342,133.9343,60.0,60.0,60.0,60.0
2,0.03,0.534,0.6005,0.1777,0.0,84.8803,60.0,51.7241,30.4094,0.9962,0.7215,3.0268,-0.6698,-10.7556,7.0052,0.2182,0.038,0.0583,0.3964,0.0,0.0,0.0,0.0,90.5442,65.3199,68.1563,115.5006,60.0,60.0,60.0,60.0
3,0.045,0.5371,0.5989,0.1448,0.0051,80.2696,60.7077,45.977,35.6725,0.9902,0.72,3.1705,-0.5815,-7.4904,6.8542,0.156,0.0187,0.0371,0.3672,0.0,0.0202,0.0,0.0,81.8458,62.6227,65.1972,111.4127,60.0,62.8309,60.0,60.0
4,0.06,0.5362,0.5961,0.1607,0.0125,82.4915,61.7527,40.2299,32.7485,0.9737,0.7131,3.4575,-0.5,-9.9188,6.5616,0.1405,0.0234,0.0307,0.448,0.0285,0.0216,0.0,0.0,79.6733,63.2815,64.2963,122.7149,63.9931,63.0177,60.0,60.0
5,0.075,0.5337,0.5957,0.1979,0.0014,87.707,60.1896,43.1034,34.5029,0.9643,0.7102,3.5202,-0.6918,-16.2904,6.5167,0.1463,0.0283,0.0199,0.5973,0.0,0.0054,0.0,0.0,80.4756,63.9577,62.7795,143.6153,60.0,60.7585,60.0,60.0
6,0.09,0.534,0.5976,0.1855,0.0107,85.9678,61.4934,52.2989,32.7485,0.9736,0.7043,3.6681,-0.8411,-17.1674,6.3875,0.1807,0.0332,0.0391,0.489,0.0197,0.023,0.0,0.0,85.298,64.6515,65.4683,128.4536,62.756,63.2178,60.0,60.0
7,0.105,0.5353,0.5973,0.1601,0.0235,82.4153,63.294,46.5517,32.7485,0.9709,0.699,3.9372,-0.9949,-16.2271,6.1439,0.1446,0.0097,0.1457,0.3404,0.0497,0.0444,0.0,0.0,80.2436,61.3642,80.4029,107.6506,66.9532,66.223,60.0,60.0
8,0.12,0.5388,0.5951,0.1143,0.0548,76.0083,67.6746,47.7011,35.6725,0.9706,0.6996,4.0693,-0.8952,-12.0753,5.9978,0.023,0.0,0.2952,0.1392,0.122,0.0718,0.0255,0.0,63.2146,60.0,101.3298,79.4887,77.0766,70.0567,63.5649,60.0
9,0.135,0.5389,0.5949,0.1198,0.0722,76.7767,70.1148,40.2299,30.9942,0.956,0.6914,4.2761,-0.8096,-13.0198,5.7809,0.0,0.0,0.3161,0.1632,0.1815,0.0771,0.0303,0.0,60.0,60.0,104.2538,82.8528,85.41,70.801,64.2482,60.0
10,0.15,0.5361,0.5969,0.1523,0.0644,81.3256,69.0127,47.1264,38.0117,0.9561,0.6972,4.4574,-0.9026,-16.2813,5.6156,0.0052,0.0,0.3392,0.2649,0.1747,0.0633,0.0195,0.0,60.7308,60.0,107.4917,97.08,84.4629,68.8624,62.7255,60.0
11,0.165,0.5324,0.5992,0.1851,0.0533,85.9204,67.4634,50.5747,36.2573,0.9628,0.6991,4.5105,-1.047,-21.09,5.5885,0.0578,0.0,0.4306,0.2522,0.1434,0.0637,0.0061,0.0,68.093,60.0,120.2804,95.3081,80.0826,68.9129,60.8583,60.0
12,0.18,0.5322,0.6001,0.1708,0.0581,83.9158,68.1349,48.8506,35.0877,0.9655,0.6987,4.705,-1.2817,-20.2472,5.4479,0.0854,0.0,0.5979,0.0,0.1519,0.0801,0.0005,0.0,71.9567,60.0,143.7064,60.0,81.2609,71.2151,60.0636,60.0
13,0.195,0.5343,0.5992,0.2077,0.0699,89.084,69.7799,47.7011,41.5205,0.9658,0.7104,4.9192,-1.2703,-17.3071,5.2372,0.0067,0.0,0.8242,0.0,0.1816,0.0877,0.0101,0.0,60.9423,60.0,175.3938,60.0,85.4287,72.2795,61.4115,60.0
14,0.21,0.5363,0.5969,0.2466,0.0974,94.5175,73.6303,38.5057,39.7661,0.9483,0.7177,5.0482,-1.169,-13.1648,5.0879,0.0,0.0,0.9862,0.0,0.2554,0.1137,0.0204,0.0,60.0,60.0,198.0699,60.0,95.752,75.9135,62.8556,60.0
15,0.225,0.5337,0.5966,0.25,0.103,95.0,74.415,43.6782,40.9357,0.9424,0.7265,5.3335,-1.0805,-15.3635,4.7899,0.0,0.0,1.0,0.0,0.2747,0.1114,0.0258,0.0,60.0,60.0,200.0,60.0,98.4593,75.5898,63.611,60.0
16,0.24,0.5284,0.5987,0.25,0.0776,95.0,70.8652,40.8046,33.9181,0.9316,0.7212,5.3873,-1.2768,-21.5133,4.7861,0.0,0.0,1.0,0.0,0.2059,0.0842,0.0203,0.0,60.0,60.0,200.0,60.0,88.8191,71.7928,62.8489,60.0
17,0.255,0.5255,0.6003,0.25,0.074,95.0,70.3536,50.5747,37.4269,0.9406,0.7231,5.4957,-1.4223,-23.5932,4.7236,0.0,0.0,1.0,0.0,0.199,0.0931,0.0037,0.0,60.0,60.0,200.0,60.0,87.86,73.0376,60.517,60.0
18,0.27,0.5239,0.6,0.25,0.0793,95.0,71.0969,54.5977,35.6725,0.9566,0.7214,5.7451,-1.6433,-22.4475,4.5612,0.0,0.0,1.0,0.0,0.1953,0.1116,0.0101,0.0,60.0,60.0,200.0,60.0,87.3463,75.6209,61.4201,60.0
19,0.285,0.5254,0.5978,0.25,0.0971,95.0,73.5884,47.1264,42.1053,0.9566,0.7321,5.8911,-1.5551,-18.1107,4.3934,0.0,0.0,1.0,0.0,0.2387,0.126,0.0235,0.0,60.0,60.0,200.0,60.0,93.4215,77.6397,63.2925,60.0
20,0.3,0.5242,0.5971,0.25,0.1087,95.0,75.2238,49.4253,42.1053,0.961,0.7417,6.0946,-1.5059,-18.1688,4.1857,0.0,0.0,1.0,0.0,0.2877,0.1269,0.0204,0.0,60.0,60.0,200.0,60.0,100.2739,77.7645,62.8566,60.0
21,0.315,0.5187,0.5986,0.25,0.0975,95.0,73.6433,48.8506,40.9357,0.964,0.7482,6.3154,-1.571,-21.2052,4.0056,0.0,0.0,1.0,0.0,0.2731,0.1049,0.0118,0.0,60.0,60.0,200.0,60.0,98.2356,74.6891,61.6486,60.0
22,0.33,0.512,0.6011,0.25,0.0729,95.0,70.2043,49.4253,42.1053,0.9677,0.7563,6.3506,-1.7234,-25.9961,4.0359,0.0,0.0,1.0,0.0,0.2056,0.086,0.0,0.0,60.0,60.0,200.0,60.0,88.7804,72.0367,60.0,60.0
