cell_type,side,n,var1,var2,var3,nn1_um,nn1_cv,nn6_over_nn1,thickness_um,extent_um
L1,left,802,0.648003681829974,0.24013552080919878,0.1118607973608271,3.3224576665210424,0.8130413285525119,2.3653076770614008,15.981105213149148,148.04901452639183
L1,right,789,0.7597677346446676,0.15356064460589916,0.0866716207494333,2.467107012089056,0.7244382403548211,2.7632017087809944,14.021953731005606,130.55471723389743
L2,left,900,0.5685197477044256,0.34631360271061895,0.0851666495849554,2.928873782297164,0.6984161934751885,2.6046562982214967,15.907699948207503,170.45188596176274
L2,right,797,0.7585966580805578,0.1521034369171681,0.08929990500227408,2.592856189312779,0.8771194694664213,2.5530053991459085,13.483530772570473,134.90602716303616
L3,left,703,0.5940750065859183,0.3151847902701487,0.09074020314393301,3.3063703644293274,0.7134254006603201,2.5715087880078706,14.554400873910016,159.4157303519834
L3,right,739,0.732141859481656,0.17118587988445838,0.09667226063388569,2.9004561180886768,0.7236079647588166,2.5761622553260266,14.488662024434111,136.5358060109931
L5,left,791,0.6070940188451789,0.28763268495655436,0.1052732961982668,4.0580780944317985,0.4397171813329455,2.2194503042678813,17.000093282536888,125.086195291544
L5,right,785,0.6034420126517696,0.2637719168498322,0.13278607049839825,3.561287469221625,0.5075881489395837,2.58289071909904,18.632384751599886,128.81101557347122
Mi1,left,788,0.5844104293486753,0.3489879259679899,0.06660164468333489,3.4900253144315214,0.5043666621249177,2.6220242975316714,12.55138268605649,140.35126558806166
Mi1,right,796,0.5584758360666556,0.3788625640743212,0.06266159985902318,3.4921391393674304,0.5735326482231167,2.6154463572972113,12.693782837722962,140.489831575401
Mi4,left,766,0.5797874660410337,0.3568388243891105,0.06337370956985583,3.9258901428460824,0.47198124146473025,2.415838137034936,11.763141523555177,136.5641016347914
Mi4,right,766,0.5611408793451261,0.3789381826083175,0.05992093804655647,3.6061181966355775,0.5382170443606099,2.635907310813942,12.30233495532207,138.41120409682694
Mi9,left,784,0.5802236220194938,0.3533167842713737,0.06645959370913239,3.807221938961127,0.47254075720971866,2.39223704724219,12.597709440499086,129.06638311182704
Mi9,right,769,0.5700633476186661,0.3687398359767435,0.06119681640459059,3.8004375306160583,0.5146043983520531,2.5164693044422735,12.242940230342223,131.97385396678752
Tm1,left,780,0.5653489336408997,0.36385599665649243,0.07079506970260802,3.6843526980990804,0.5027145859694135,2.493446216909557,12.793087315328012,135.78812113086425
Tm1,right,775,0.5417319158700818,0.39067538593352535,0.06759269819639278,3.774876249596234,0.5627721472721144,2.4463170081718926,13.472348688873458,135.51918294327822
Tm2,left,784,0.565096640709648,0.3576973618069688,0.07720599748338305,3.87744106330462,0.5181960904955247,2.3099322614801205,14.203754689318139,124.98180871542075
Tm2,right,767,0.5393886054427758,0.39602035286259707,0.06459104169462702,3.4874085516814195,0.5737025526936894,2.697742265382288,13.057587079980088,133.0295038871354
Tm9,left,767,0.5714321845802349,0.32644729741469647,0.10212051800506865,3.4492678868623656,0.5152652350411541,2.6100152712061715,16.171911793627352,129.86079036874793
Tm9,right,755,0.5557015440589815,0.3644521620809995,0.0798462938600189,3.5865457366175133,0.5390190442777171,2.6623201388487012,15.264582421424455,131.36195447465312
Tm20,left,751,0.5832457787974786,0.3424364454208635,0.07431777578165806,3.796761266192959,0.49495832622327884,2.4751021359621084,13.291176507633962,126.23784207139612
Tm20,right,745,0.5664594678368093,0.3700520011980804,0.06348853096511023,3.8362675800230495,0.5211299607506152,2.570844659984836,13.216867718025336,128.9327869234844
T4a,left,725,0.6863858933535089,0.18265305444020724,0.130961052206284,2.1412119083360164,0.5879425935034548,2.6376275273785836,12.90887402846664,101.70538206150702
T4a,right,737,0.7027427630612387,0.19953107237916654,0.09772616455959482,2.161689477774323,0.6217219899018502,2.7219071987380414,11.39037367925238,104.98182205125198
T4b,left,752,0.6889486249470798,0.1894727052229374,0.12157866982998285,2.1360383458802152,0.5878316139138883,2.717095660627977,12.222383490944848,110.43536762967372
T4b,right,748,0.7093418929166113,0.19889228944819756,0.09176581763519118,2.303217665976052,0.5651011786870082,2.6915245136813972,11.132471314910363,106.67955033583004
T4c,left,864,0.6553096634695125,0.19073328139249182,0.1539570551379957,2.0448729583116,0.6400738523618511,2.68641210067953,13.609764904166205,108.07481105941709
T4c,right,842,0.7052795002682168,0.20430968501352553,0.09041081471825768,2.066595886489937,0.5896222335765761,2.847576404283031,10.580127250499311,105.87396672437742
T4d,left,796,0.6698830995968605,0.1847550747909311,0.14536182561220828,2.1075788738633663,0.638846000909164,2.6818190308619925,12.429909622719082,102.63716982264059
T4d,right,777,0.7100915699543414,0.19893313252851877,0.09097529751713979,2.110613088694409,0.5783026720684343,2.875894745739136,10.751065723077854,103.90421986021155
T5a,left,741,0.7018183713408144,0.17789895787639837,0.12028267078278712,1.4459273706632951,0.7411733312046486,2.965976999423736,11.320824459955123,97.43603175259123
T5a,right,743,0.7159909577147976,0.15486217167878946,0.1291468706064128,1.9340585369996297,0.6358871030238461,2.743512866411117,12.085079847678603,107.69010616667211
T5b,left,753,0.7116788413281272,0.16432232540232283,0.12399883326955007,1.6369580747244965,0.6985871004425763,2.667863680254976,11.270404658344482,99.37362972911868
T5b,right,760,0.7237775075287242,0.14708677039911547,0.12913572207216042,1.8526640880994718,0.6100375283685298,2.77460164232174,12.408455478846857,109.04446681420099
T5c,left,775,0.7055720417698034,0.16962902306636973,0.12479893516382681,1.3597628715761372,0.8138269868625558,2.8184446128922542,10.972776246140798,100.19458614132532
T5c,right,766,0.7203033561259938,0.14395998981627334,0.13573665405773275,1.7360687427817245,0.6828818903440749,2.831180920228951,11.57741768630154,108.38793634832464
T5d,left,740,0.7114811697380818,0.16223347689708045,0.1262853533648378,1.4846888693835185,0.8100023650407053,2.616352758069404,11.165956243032946,100.3551750861276
T5d,right,727,0.7203229962058366,0.14504944171884887,0.13462756207531457,1.6530698447294057,0.7199301151121813,2.923704759741408,11.754918975838688,106.58939927923538
