cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.5807,0.5995,0.0128,0.0676,61.7974,69.4671,33.3333,43.2749,0.6781,0.846,3.1228,0.5732,9.4672,9.9305,0.0,0.0514,0.0,0.0,0.213,0.0446,0.0128,0.0,60.0,67.1894,60.0,60.0,89.8199,66.2504,61.7981,60.0
1,0.015,0.5787,0.6019,0.0117,0.0355,61.6448,64.9732,37.931,38.5965,0.687,0.8373,3.2782,0.4632,5.3042,10.0845,0.0197,0.0273,0.0,0.0,0.12,0.0181,0.004,0.0,62.7614,63.8177,60.0,60.0,76.8067,62.5275,60.5584,60.0
2,0.03,0.5764,0.6041,0.044,0.0218,66.1652,63.057,31.0345,35.0877,0.6817,0.8229,3.4199,0.3659,2.1325,10.2231,0.1761,0.0,0.0,0.0,0.0726,0.0147,0.0,0.0,84.6609,60.0,60.0,60.0,70.1709,62.057,60.0,60.0
3,0.045,0.5755,0.6037,0.0719,0.0214,70.0622,62.99,43.6782,29.2398,0.7014,0.799,3.6929,0.2597,4.1559,10.4169,0.2875,0.0,0.0,0.0,0.0568,0.0287,0.0,0.0,100.2486,60.0,60.0,60.0,67.9483,64.0117,60.0,60.0
4,0.06,0.5774,0.602,0.0763,0.0333,70.6781,64.6568,44.2529,28.655,0.7204,0.7763,3.7716,0.4161,9.2821,10.2993,0.2866,0.0,0.0,0.0185,0.0749,0.0284,0.003,0.0267,100.1241,60.0,60.0,62.5884,70.4891,63.9823,60.4151,63.7406
5,0.075,0.5787,0.6016,0.0762,0.0375,70.6712,65.2466,36.7816,35.6725,0.723,0.7688,3.9321,0.5397,10.2454,10.245,0.3049,0.0,0.0,0.0,0.1116,0.0294,0.0045,0.0045,102.685,60.0,60.0,60.0,75.6215,64.1111,60.6255,60.6285
6,0.09,0.5778,0.6025,0.0896,0.0278,72.55,63.8988,36.7816,34.5029,0.7254,0.7598,4.1716,0.6296,8.4903,10.257,0.349,0.0,0.0,0.0095,0.0803,0.011,0.0106,0.0095,108.8632,60.0,60.0,61.3369,71.2474,61.5373,61.4824,61.3282
7,0.105,0.5746,0.6049,0.1291,0.0098,78.0753,61.3697,40.8046,35.0877,0.7354,0.7528,4.2746,0.5235,4.5378,10.396,0.4816,0.0,0.0011,0.0337,0.0,0.0,0.0101,0.029,127.4252,60.0,60.1577,64.7183,60.0,60.0,61.4204,64.0586
8,0.12,0.5736,0.6056,0.1541,0.0065,81.5691,60.9164,44.8276,34.5029,0.7522,0.7453,4.4663,0.4106,4.6898,10.5785,0.5859,0.0,0.0091,0.0213,0.0,0.0014,0.0124,0.0124,142.0321,60.0,61.269,62.9755,60.0,60.198,61.7376,61.7299
9,0.135,0.575,0.6051,0.1568,0.0085,81.9519,61.1831,38.5057,24.5614,0.7552,0.7201,4.6639,0.4696,7.2385,10.6104,0.5985,0.0,0.0096,0.0191,0.0,0.0,0.0196,0.0142,143.7939,60.0,61.3434,62.6702,60.0,60.0,62.7452,61.9871
10,0.15,0.5769,0.6026,0.1495,0.0272,80.9297,63.802,37.3563,32.1637,0.7556,0.7114,4.7446,0.5858,11.0306,10.5422,0.5733,0.0,0.0065,0.0183,0.034,0.0231,0.0328,0.0187,140.258,60.0,60.9056,62.555,64.7589,63.2329,64.5961,62.62
11,0.165,0.5776,0.6018,0.1466,0.0354,80.5186,64.9548,39.0805,39.7661,0.7594,0.7177,4.9271,0.768,10.1598,10.4645,0.5682,0.0,0.0117,0.0064,0.0628,0.0294,0.0333,0.0161,139.5467,60.0,61.6341,60.8938,68.7873,64.1169,64.6617,62.2536
12,0.18,0.5762,0.6034,0.1638,0.0187,82.9367,62.6243,44.8276,35.0877,0.7739,0.7147,5.0854,0.6842,6.4244,10.6135,0.6244,0.0,0.0127,0.0182,0.007,0.0113,0.0232,0.0335,147.4162,60.0,61.7802,62.5503,60.9731,61.5888,63.2497,64.6856
13,0.195,0.574,0.6048,0.187,0.0108,86.1781,61.5108,42.5287,35.0877,0.7826,0.712,5.2009,0.5875,2.5306,10.7538,0.7265,0.0,0.0142,0.0072,0.0,0.0177,0.0072,0.0183,161.7054,60.0,61.9925,61.0144,60.0,62.4769,61.0082,62.558
14,0.21,0.5728,0.6047,0.2035,0.0155,88.4921,62.1722,46.5517,42.1053,0.7982,0.7225,5.4742,0.4659,3.8676,10.9939,0.7834,0.0,0.0187,0.012,0.0,0.0376,0.0056,0.0188,169.6711,60.0,62.6157,61.6817,60.0,65.2688,60.7876,62.6326
15,0.225,0.5747,0.6028,0.196,0.0269,87.4355,63.7713,43.6782,33.3333,0.8068,0.7158,5.5747,0.6058,8.4089,10.9238,0.7297,0.0,0.0112,0.043,0.0,0.0443,0.0154,0.0481,162.1531,60.0,61.5618,66.0269,60.0,66.2051,62.1511,66.7289
16,0.24,0.5764,0.6015,0.1846,0.0379,85.8387,65.3015,36.7816,28.655,0.8013,0.701,5.7127,0.7161,9.9328,10.9007,0.7134,0.0,0.0,0.0248,0.0503,0.0501,0.0196,0.0314,159.8776,60.0,60.0,63.477,67.0448,67.0152,62.7459,64.4
17,0.255,0.5758,0.6017,0.1905,0.0361,86.6694,65.0498,47.7011,45.0292,0.8174,0.7181,5.9403,0.8365,7.8228,10.9205,0.7303,0.0,0.0,0.0317,0.0467,0.0351,0.0291,0.0334,162.2465,60.0,60.0,64.4312,66.5318,64.9113,64.076,64.68
