condition,seed,r_dark_vs_dturn,dark_asym_std,dturn_std,n
без_столба,0,0.7240303542344789,0.020895106043905654,2.691364395913466,99
без_столба,1,0.21183470590083883,0.04617387925877021,2.768590869124938,99
без_столба,2,0.443662726085941,0.024901933278196203,2.695481681615155,99
без_столба,3,0.5270953977132246,0.017934342040512082,2.6930225910683503,99
без_столба,4,0.6379442761289382,0.014029503944199677,2.6671230972954594,99
без_столба,5,0.7524856018754253,0.022945448053344652,2.728884823377729,99
без_столба,6,0.6674438579391886,0.015704868792362707,2.6558743745010442,99
без_столба,7,0.5382939095063798,0.01978013914773103,2.6818483560812707,99
столб_слева,0,-0.061138700667084184,0.4235351940800506,3.2377366075402336,99
столб_слева,1,-0.046208191358082865,0.2345820091099516,3.086699324797929,99
столб_слева,2,0.081029417417971,0.1380820279035477,3.1321744651811176,99
столб_слева,3,-0.05371771821224449,0.3363786799105093,3.0670108970178576,99
столб_слева,4,0.009391730251507517,0.21725431501377102,3.0904522434191084,99
столб_слева,5,-0.07243446648055954,0.39491844627756334,3.1551187539484453,99
столб_слева,6,-0.032122188673844955,0.2604233189492555,2.992566043449961,99
столб_слева,7,-0.005858600427321827,0.28839717458947606,3.1427221913875187,99
столб_справа,0,0.018275594679933647,0.19413619081359848,3.0833098077809313,99
столб_справа,1,-0.029162411167529434,0.25290618394528747,3.0491645624865122,99
столб_справа,2,-0.03408663015939338,0.4367574864652821,3.1593391403149753,99
столб_справа,3,0.013309126172628586,0.21102048921535288,3.113444932027034,99
столб_справа,4,-0.04911671153669745,0.25983715295647164,3.0055126505352283,99
столб_справа,5,0.06154894511024709,0.17814301258071713,3.083747464143253,99
столб_справа,6,0.03144555018463305,0.186844257289304,3.0755762256135397,99
столб_справа,7,-0.025940022891140446,0.2314437103798247,2.9921513638742026,99
