cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.0214,0.0144,0.007,0.0069,2.9824,2.9618,14.9425,14.0351,0.3065,0.2738,2.815,0.3023,7.6948,7.3828,0.0,0.0126,0.0154,0.0,0.0154,0.0,0.0009,0.0112,1.7911,3.9357,4.4117,1.7911,4.4149,1.7911,1.9525,3.6887
1,0.015,0.0235,0.0152,0.0058,0.0073,2.9147,3.1789,1.1494,0.5848,0.2795,0.2489,2.9344,0.2964,7.2108,7.268,0.0,0.0078,0.0141,0.0011,0.013,0.0,0.0036,0.0126,1.9368,3.2597,4.3396,2.1229,4.1485,1.9368,2.5517,4.0786
2,0.03,0.0228,0.0157,0.0044,0.0065,2.6641,3.0356,0.5747,0.5848,0.2541,0.2263,2.9951,0.2257,3.1798,7.2261,0.0,0.0046,0.012,0.0008,0.0086,0.0,0.005,0.0125,1.9245,2.7111,3.9654,2.0553,3.3892,1.9245,2.777,4.0516
3,0.045,0.0223,0.0158,0.0033,0.0056,2.4683,2.8652,1.1494,1.1696,0.2321,0.2069,3.1354,0.1387,4.0493,7.1125,0.0,0.0014,0.0114,0.0005,0.0038,0.0,0.006,0.0128,1.9062,2.1411,3.836,1.9899,2.5503,1.9062,2.9179,4.0864
4,0.06,0.0223,0.0169,0.0033,0.0052,2.5133,2.8472,1.1494,2.924,0.2123,0.1927,3.1931,0.1989,4.9577,7.0411,0.0,0.0,0.0121,0.0009,0.0016,0.0,0.0054,0.0139,1.9588,1.9588,4.0156,2.1202,2.2328,1.9588,2.8832,4.3141
5,0.075,0.0219,0.0165,0.0032,0.0054,2.456,2.8417,1.7241,3.5088,0.1954,0.1808,3.2274,0.2484,6.6193,6.9955,0.0,0.0,0.0122,0.0004,0.0028,0.0,0.0051,0.0138,1.9198,1.9198,3.9962,1.9881,2.3942,1.9198,2.7935,4.2593
6,0.09,0.022,0.0165,0.0032,0.0056,2.4704,2.8711,1.1494,8.7719,0.1791,0.1799,3.3099,0.3173,6.144,6.8985,0.0,0.0,0.0126,0.0002,0.0024,0.0,0.006,0.0139,1.9255,1.9255,4.0679,1.9626,2.3366,1.9255,2.9404,4.2818
7,0.105,0.0223,0.0169,0.0029,0.0056,2.449,2.913,4.023,4.6784,0.1699,0.1715,3.3523,0.2774,4.6965,6.8673,0.0,0.0,0.0114,0.0002,0.0011,0.0,0.0072,0.0142,1.9554,1.9554,3.8916,1.9935,2.1503,1.9554,3.1838,4.3625
8,0.12,0.0218,0.0169,0.0027,0.0055,2.3855,2.8647,1.1494,1.1696,0.156,0.1573,3.3938,0.2396,3.8842,6.8367,0.0,0.0,0.0106,0.0,0.0,0.0,0.0078,0.0141,1.9336,1.9336,3.7415,1.9336,1.9336,1.9336,3.259,4.3327
9,0.135,0.0218,0.0173,0.0027,0.0058,2.4175,2.9412,1.1494,1.1696,0.1434,0.1445,3.4548,0.2152,3.8845,6.7842,0.0,0.0,0.0109,0.0,0.0,0.0,0.0086,0.0146,1.9559,1.9559,3.8022,1.9559,1.9559,1.9559,3.4124,4.4407
10,0.15,0.0221,0.0173,0.0028,0.0059,2.4419,2.9668,2.8736,2.3392,0.1353,0.1351,3.4776,0.2468,5.0529,6.7539,0.0,0.0,0.0112,0.0,0.0,0.0,0.0085,0.015,1.9668,1.9668,3.8672,1.9668,1.9668,1.9668,3.4143,4.5192
11,0.165,0.0222,0.0171,0.0029,0.006,2.4528,2.9781,0.5747,4.0936,0.1236,0.1299,3.5046,0.2856,5.2884,6.7178,0.0,0.0,0.0115,0.0,0.0,0.0,0.0088,0.0151,1.9631,1.9631,3.9218,1.9631,1.9631,1.9631,3.4573,4.5291
12,0.18,0.0225,0.0173,0.0029,0.0062,2.4808,3.0401,0.5747,5.2632,0.1129,0.1273,3.5459,0.2861,4.7886,6.6778,0.0,0.0,0.0116,0.0,0.0,0.0,0.0094,0.0154,1.9873,1.9873,3.9612,1.9873,1.9873,1.9873,3.5848,4.6012
13,0.195,0.0223,0.0175,0.0028,0.0063,2.465,3.0675,0.5747,0.5848,0.1033,0.1163,3.5678,0.269,4.0334,6.6611,0.0,0.0,0.0112,0.0,0.0,0.0,0.0099,0.0155,1.9901,1.9901,3.8898,1.9901,1.9901,1.9901,3.6685,4.6212
