cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm,dark_l0,dark_l1,dark_l2,dark_l3,dark_r0,dark_r1,dark_r2,dark_r3,rate_l0,rate_l1,rate_l2,rate_l3,rate_r0,rate_r1,rate_r2,rate_r3
0,0.0,0.5358,0.541,0.2246,0.2874,91.4429,100.2331,44.2529,53.2164,0.9003,1.0,3.1301,0.5799,9.5026,7.0151,0.0,0.1067,0.0,0.7917,0.213,0.0446,0.0128,0.879,60.0,74.9335,60.0,170.8381,89.8199,66.2504,61.7981,183.0641
1,0.015,0.5355,0.5424,0.2242,0.279,91.3848,99.0663,54.023,49.1228,0.9192,1.0,3.3069,0.4687,4.7834,6.866,0.0,0.1151,0.0,0.7817,0.1183,0.0184,0.0041,0.9754,60.0,76.1071,60.0,169.4322,76.5587,62.5719,60.5728,196.5617
2,0.03,0.5328,0.5468,0.235,0.2319,92.9005,92.4707,55.7471,50.2924,0.9397,1.0,3.4683,0.355,1.159,6.7357,0.0002,0.1279,0.0,0.8119,0.0677,0.0109,0.0,0.8492,60.0274,77.9017,60.0,173.6727,69.4755,61.5259,60.0,178.8813
3,0.045,0.532,0.5517,0.2438,0.165,94.1314,83.0985,56.3218,45.614,0.9593,1.0,3.7946,0.2233,3.4034,6.4547,0.0162,0.1092,0.0,0.8498,0.0557,0.0216,0.0,0.5827,62.2688,75.2866,60.0,178.9701,67.7942,63.0219,60.0,141.5779
4,0.06,0.5333,0.555,0.2523,0.1132,95.3197,75.8527,58.6207,39.7661,0.9815,0.9925,3.8954,0.4064,9.3466,6.3091,0.0,0.0616,0.0102,0.9373,0.078,0.0251,0.0,0.3498,60.0,68.631,61.4288,191.219,70.9237,63.5122,60.0,108.9749
5,0.075,0.5326,0.5537,0.2621,0.1254,96.6883,77.5553,52.2989,43.2749,0.9893,0.9785,4.0894,0.5543,10.5622,6.0849,0.0,0.0482,0.0,1.0,0.1213,0.03,0.0022,0.3481,60.0,66.7534,60.0,200.0,76.9838,64.2017,60.3022,108.7334
6,0.09,0.5303,0.5522,0.2633,0.1475,96.8638,80.6487,54.5977,42.6901,1.0,0.9648,4.3833,0.666,8.096,5.7729,0.0,0.0533,0.0,1.0,0.1053,0.0186,0.0086,0.4575,60.0,67.4554,60.0,200.0,74.7374,62.6042,61.2026,124.0507
7,0.105,0.527,0.5527,0.2748,0.1545,98.4681,81.6299,60.3448,42.6901,1.0,0.9525,4.501,0.5128,2.7797,5.6966,0.0165,0.0662,0.0164,1.0,0.0,0.0,0.0046,0.6134,62.311,69.2712,62.2903,200.0,60.0,60.0,60.6414,145.8782
8,0.12,0.5244,0.5563,0.2824,0.108,99.5325,75.12,51.7241,45.0292,1.0,0.9456,4.7586,0.3627,2.8922,5.4912,0.055,0.0616,0.0128,1.0,0.0,0.0152,0.0048,0.412,67.7034,68.6295,61.797,200.0,60.0,62.1316,60.6662,117.6823
9,0.135,0.5237,0.5598,0.2703,0.0519,97.8437,67.2686,63.7931,29.8246,1.0,0.9111,5.022,0.42,5.8206,5.2228,0.0177,0.0351,0.0284,1.0,0.0166,0.0216,0.0148,0.1547,62.4801,64.914,63.9804,200.0,62.3309,63.0189,62.0699,81.6548
10,0.15,0.5229,0.5594,0.2668,0.0463,97.3459,66.4835,61.4943,32.1637,1.0,0.8842,5.1051,0.5813,10.8223,5.0964,0.0,0.0144,0.0526,1.0,0.0887,0.0553,0.0279,0.0133,60.0,62.0211,67.3625,200.0,72.4181,67.7478,63.908,61.8599
11,0.165,0.5206,0.5564,0.2664,0.0838,97.2929,71.7276,54.5977,41.5205,1.0,0.8773,5.3401,0.8107,9.4711,4.8093,0.0,0.0218,0.0437,1.0,0.1221,0.0581,0.0278,0.127,60.0,63.0492,66.1224,200.0,77.0946,68.1365,63.8976,77.7818
12,0.18,0.5195,0.5547,0.2652,0.1163,97.1283,76.2805,62.069,38.5965,1.0,0.8656,5.5307,0.6929,4.7702,4.6565,0.0,0.0334,0.0274,1.0,0.0512,0.0332,0.0195,0.3612,60.0,64.6788,63.8344,200.0,67.1738,64.6486,62.727,110.5724
13,0.195,0.5135,0.5571,0.2713,0.0908,97.9861,72.708,56.8966,46.1988,1.0,0.8692,5.6593,0.5582,-0.4218,4.5739,0.0129,0.0597,0.0127,1.0,0.0208,0.0282,0.0,0.3141,61.8091,68.3547,61.7805,200.0,62.9153,63.9452,60.0,103.9714
14,0.21,0.5095,0.5623,0.2989,0.0214,101.8455,62.9919,58.6207,39.1813,1.0,0.8594,6.0195,0.3851,1.341,4.2956,0.0344,0.054,0.1071,1.0,0.0156,0.0393,0.0,0.0306,64.8195,67.564,74.9986,200.0,62.1791,65.5074,60.0,64.2812
15,0.225,0.5074,0.5661,0.3428,0.0228,107.9978,63.188,51.1494,33.3333,1.0,0.8396,6.1478,0.555,6.5867,4.1143,0.0,0.0118,0.3596,1.0,0.0419,0.0445,0.0047,0.0,60.0,61.649,110.3424,200.0,65.8674,66.2286,60.6559,60.0
16,0.24,0.5034,0.5655,0.344,0.0411,108.1658,65.7581,59.1954,36.2573,1.0,0.8272,6.3049,0.6939,8.9953,3.9192,0.0,0.0,0.3762,1.0,0.0985,0.053,0.013,0.0,60.0,60.0,112.6633,200.0,73.7865,67.4229,61.8229,60.0
17,0.255,0.4983,0.5635,0.3392,0.0392,107.4811,65.4864,63.2184,39.1813,1.0,0.8214,6.5848,0.8366,5.981,3.6079,0.0,0.0051,0.3515,1.0,0.094,0.0392,0.0236,0.0,60.0,60.7083,109.216,200.0,73.1586,65.4866,63.3002,60.0
18,0.27,0.4927,0.5637,0.3387,0.0095,107.4129,61.3237,61.4943,33.9181,1.0,0.8063,6.6914,0.6711,0.2299,3.5655,0.0,0.017,0.3376,1.0,0.0,0.0147,0.0231,0.0,60.0,62.3828,107.2686,200.0,60.0,62.057,63.2377,60.0
19,0.285,0.4863,0.5684,0.3866,0.0115,114.1243,61.6104,62.069,32.7485,1.0,0.7905,6.9256,0.5405,-0.4677,3.4032,0.022,0.0158,0.5086,1.0,0.0,0.0258,0.0202,0.0,63.0812,62.212,131.204,200.0,60.0,63.6102,62.8316,60.0
20,0.3,0.481,0.572,0.4578,0.0245,124.0973,63.4353,60.9195,29.8246,1.0,0.7708,7.2252,0.5266,1.6616,3.1417,0.0,0.0,0.8314,1.0,0.0231,0.0382,0.0369,0.0,60.0,60.0,176.3894,200.0,63.2335,65.3472,65.1604,60.0
21,0.315,0.4749,0.5729,0.5,0.0527,130.0,67.3726,70.6897,28.0702,1.0,0.7496,7.3187,0.6672,5.7458,2.9942,0.0,0.0,1.0,1.0,0.084,0.0714,0.0552,0.0,60.0,60.0,200.0,200.0,71.7589,70.0026,67.7288,60.0
22,0.33,0.4667,0.5727,0.5,0.0621,130.0,68.6883,68.3908,38.5965,1.0,0.7501,7.5175,0.8545,4.6777,2.7341,0.0,0.0,1.0,1.0,0.1187,0.0746,0.055,0.0,60.0,60.0,200.0,200.0,76.6185,70.4377,67.6969,60.0
23,0.345,0.4597,0.573,0.5,0.0417,130.0,65.8397,66.092,35.6725,1.0,0.7451,7.7017,0.7549,0.5531,2.6139,0.0,0.0,1.0,1.0,0.0737,0.0545,0.0386,0.0,60.0,60.0,200.0,200.0,70.3192,67.632,65.4077,60.0
24,0.36,0.4467,0.5775,0.5019,0.0301,130.2604,64.2208,61.4943,42.1053,1.0,0.7525,7.802,0.6215,-4.66,2.5945,0.0,0.0074,1.0,1.0,0.0429,0.0586,0.0191,0.0,60.0,61.0415,200.0,200.0,66.0009,68.202,62.6804,60.0
25,0.375,0.437,0.5812,0.5085,0.0317,131.1907,64.4429,66.092,39.7661,1.0,0.7549,8.116,0.4284,-3.4241,2.4535,0.0,0.034,1.0,1.0,0.0399,0.0753,0.0117,0.0,60.0,64.7628,200.0,200.0,65.588,70.5409,61.6425,60.0
26,0.39,0.4278,0.5825,0.5705,0.0409,139.8682,65.7226,72.9885,36.8421,1.0,0.7516,8.2844,0.5454,0.5764,2.2493,0.0,0.2819,1.0,1.0,0.0615,0.0839,0.0181,0.0,60.0,99.4728,200.0,200.0,68.6084,71.7482,62.5339,60.0
27,0.405,0.4146,0.583,0.613,0.0635,145.8218,68.8905,69.5402,32.7485,1.0,0.741,8.4121,0.6782,4.1799,2.066,0.0,0.4521,1.0,1.0,0.1307,0.0956,0.0278,0.0,60.0,123.2874,200.0,200.0,78.2926,73.3776,63.8919,60.0
28,0.42,0.3978,0.5852,0.652,0.0615,151.2809,68.6099,74.1379,26.3158,1.0,0.7194,8.6892,0.833,1.0675,1.755,0.0,0.608,1.0,1.0,0.127,0.0782,0.0408,0.0,60.0,145.1236,200.0,200.0,77.7738,70.9538,65.7119,60.0
29,0.435,0.3718,0.5891,0.75,0.0322,165.0,64.5142,75.2874,29.2398,1.0,0.7054,8.7776,0.6516,-5.0487,1.82,0.0,1.0,1.0,1.0,0.0384,0.0433,0.0473,0.0,60.0,200.0,200.0,200.0,65.3756,66.0597,66.6215,60.0
30,0.45,0.3431,0.5918,0.7797,0.0303,169.1537,64.2436,68.3908,31.5789,1.0,0.697,8.9722,0.5273,-6.5164,1.7959,0.1187,1.0,1.0,1.0,0.0384,0.0465,0.0363,0.0,76.6149,200.0,200.0,200.0,65.383,66.5038,65.0874,60.0
31,0.465,0.3174,0.5923,0.8867,0.037,184.1335,65.1849,80.4598,30.9942,1.0,0.6883,9.2816,0.4312,-5.0983,1.7254,0.5467,1.0,1.0,1.0,0.0442,0.0518,0.0521,0.0,136.5341,200.0,200.0,200.0,66.1877,67.2559,67.2961,60.0
32,0.48,0.2928,0.5903,1.0,0.0623,200.0,68.7239,85.0575,29.8246,1.0,0.6783,9.3868,0.5547,-1.4283,1.5699,1.0,1.0,1.0,1.0,0.0946,0.0726,0.0821,0.0,200.0,200.0,200.0,200.0,73.2411,70.1581,71.4964,60.0
33,0.495,0.3345,0.5905,1.0,0.0727,200.0,70.183,82.7586,40.3509,1.0,0.6888,9.575,0.6857,-2.3716,1.3813,1.0,1.0,1.0,1.0,0.1266,0.0746,0.0897,0.0,200.0,200.0,200.0,200.0,77.724,70.4484,72.5597,60.0
34,0.51,0.3713,0.5931,0.9743,0.0588,196.4086,68.2353,71.8391,29.2398,1.0,0.6777,9.7612,0.6119,-6.0919,1.4085,0.8974,1.0,1.0,1.0,0.0969,0.0573,0.081,0.0,185.6346,200.0,200.0,200.0,73.5714,68.0264,71.3434,60.0
35,0.525,0.4018,0.5956,0.8859,0.0449,184.0235,66.2914,89.6552,33.3333,1.0,0.6752,9.84,0.476,-11.0255,1.5324,0.8193,1.0,1.0,0.7242,0.0525,0.0582,0.069,0.0,174.7055,200.0,200.0,161.3886,67.3507,68.155,69.66,60.0
36,0.54,0.3705,0.5967,0.813,0.0472,173.8262,66.6121,71.2644,29.2398,1.0,0.6654,10.0914,0.2676,-10.2132,1.7348,1.0,1.0,1.0,0.2522,0.049,0.0756,0.0643,0.0,200.0,200.0,200.0,95.3049,66.8601,70.5906,68.9974,60.0
37,0.555,0.3633,0.5959,0.75,0.0561,165.0,67.8498,69.5402,30.9942,1.0,0.6597,10.2961,0.3207,-7.5306,1.7052,1.0,1.0,1.0,0.0,0.0697,0.0848,0.0698,0.0,200.0,200.0,200.0,60.0,69.7638,71.8683,69.7671,60.0
38,0.57,0.36,0.594,0.75,0.0798,165.0,71.1788,73.5632,32.7485,1.0,0.6579,10.4106,0.4392,-3.7816,1.6139,1.0,1.0,1.0,0.0,0.1378,0.1098,0.0718,0.0,200.0,200.0,200.0,60.0,79.2962,75.3728,70.0461,60.0
39,0.585,0.3542,0.5942,0.75,0.0813,165.0,71.3885,79.8851,30.4094,1.0,0.6518,10.6729,0.562,-6.8407,1.5877,1.0,1.0,1.0,0.0,0.1503,0.1041,0.0709,0.0,200.0,200.0,200.0,60.0,81.0447,74.5804,69.9288,60.0
40,0.6,0.3595,0.5966,0.75,0.0525,165.0,67.3533,69.5402,32.7485,1.0,0.6507,10.742,0.3663,-13.3301,1.7943,1.0,1.0,1.0,0.0,0.0783,0.0707,0.0611,0.0,200.0,200.0,200.0,60.0,70.9629,69.8924,68.5578,60.0
41,0.615,0.3701,0.5984,0.75,0.0475,165.0,66.6555,79.3103,32.1637,1.0,0.6486,10.8856,0.237,-14.7195,1.973,1.0,1.0,1.0,0.0,0.0791,0.0728,0.0383,0.0,200.0,200.0,200.0,60.0,71.0685,70.1976,65.3558,60.0
42,0.63,0.3848,0.5984,0.75,0.0484,165.0,66.77,79.3103,29.2398,1.0,0.6413,11.1823,0.0615,-13.9573,2.2706,1.0,1.0,1.0,0.0,0.0731,0.0789,0.0414,0.0,200.0,200.0,200.0,60.0,70.2271,71.0523,65.8006,60.0
43,0.645,0.4037,0.5957,0.75,0.0677,165.0,69.4754,72.4138,32.7485,1.0,0.6412,11.3074,0.1604,-10.4477,2.2568,1.0,1.0,1.0,0.0,0.1193,0.0952,0.0562,0.0,200.0,200.0,200.0,60.0,76.706,73.3341,67.8617,60.0
44,0.66,0.4194,0.5951,0.7344,0.0782,162.8116,70.9521,67.8161,33.3333,1.0,0.6422,11.4904,0.2323,-11.8177,2.3122,1.0,1.0,0.9375,0.0,0.1561,0.0954,0.0614,0.0,200.0,200.0,191.2463,60.0,81.8471,73.3605,68.6009,60.0
45,0.675,0.4357,0.5967,0.7012,0.0664,158.1749,69.3001,66.6667,33.9181,1.0,0.6442,11.6807,0.1712,-14.9534,2.4838,1.0,1.0,0.805,0.0,0.1357,0.0745,0.0555,0.0,200.0,200.0,172.6995,60.0,78.9986,70.4257,67.7762,60.0
46,0.69,0.4535,0.5987,0.6709,0.0488,153.9254,66.8307,60.3448,32.1637,1.0,0.6427,11.7301,0.0284,-20.0039,2.6231,1.0,1.0,0.6836,0.0,0.0828,0.0643,0.048,0.0,200.0,200.0,155.7014,60.0,71.5975,68.9987,66.7264,60.0
47,0.705,0.4729,0.5996,0.6427,0.0494,149.9715,66.9122,67.8161,38.5965,1.0,0.6534,11.9285,-0.1924,-19.3148,2.9199,1.0,1.0,0.5706,0.0,0.0818,0.0772,0.0384,0.0,200.0,200.0,139.8862,60.0,71.4529,70.8136,65.3821,60.0
48,0.72,0.4919,0.5986,0.6198,0.0553,146.771,67.7463,67.8161,28.655,1.0,0.6445,12.1602,-0.2159,-17.4281,3.0946,1.0,1.0,0.4792,0.0,0.0956,0.0803,0.0455,0.0,200.0,200.0,127.084,60.0,73.3815,71.2377,66.3663,60.0
49,0.735,0.5094,0.5959,0.5636,0.0817,138.8982,71.435,57.4713,35.0877,1.0,0.6485,12.285,-0.1145,-13.6363,3.1133,1.0,0.8574,0.3968,0.0,0.1603,0.1034,0.063,0.0,200.0,180.0412,115.5516,60.0,82.4416,74.4784,68.8199,60.0
50,0.75,0.5223,0.5954,0.5174,0.0883,132.4414,72.3572,56.8966,36.8421,1.0,0.6553,12.5351,-0.0188,-16.0546,3.2407,1.0,0.7298,0.3399,0.0,0.179,0.0963,0.0777,0.0,200.0,162.1746,107.5909,60.0,85.0614,73.4883,70.8792,60.0
51,0.765,0.533,0.5977,0.4806,0.0612,127.2862,68.5676,55.1724,35.6725,1.0,0.6593,12.5897,-0.219,-22.2899,3.4103,1.0,0.6341,0.2884,0.0,0.1077,0.0621,0.075,0.0,200.0,148.7686,100.3763,60.0,75.077,68.6902,70.5034,60.0
52,0.78,0.542,0.5993,0.4506,0.0536,123.0889,67.505,56.8966,36.2573,1.0,0.664,12.6722,-0.3613,-24.7292,3.566,1.0,0.562,0.2405,0.0,0.0992,0.0584,0.0569,0.0,200.0,138.6834,93.6723,60.0,73.8851,68.1693,67.9656,60.0
53,0.795,0.5505,0.5996,0.4219,0.0511,119.0652,67.1553,58.6207,25.731,1.0,0.6487,12.932,-0.6108,-23.9528,3.9259,1.0,0.4784,0.2092,0.0,0.0866,0.0629,0.0549,0.0,200.0,126.9752,89.2854,60.0,72.1256,68.8118,67.6837,60.0
54,0.81,0.5604,0.5972,0.3773,0.0661,112.8275,69.2512,59.7701,35.0877,1.0,0.6522,13.0829,-0.5379,-20.1916,3.9932,0.9496,0.387,0.1728,0.0,0.1196,0.069,0.0758,0.0,192.9399,114.1765,84.1935,60.0,76.7408,69.6558,70.608,60.0
55,0.825,0.5683,0.5961,0.3069,0.0814,102.9627,71.3952,50.0,32.7485,1.0,0.6511,13.2638,-0.5038,-20.3983,4.1135,0.7627,0.3291,0.1357,0.0,0.1627,0.0741,0.0888,0.0,166.7759,106.0729,79.0018,60.0,82.7831,70.3686,72.4289,60.0
56,0.84,0.5719,0.597,0.2755,0.0741,98.5739,70.375,43.1034,37.4269,1.0,0.6588,13.4818,-0.5485,-23.4196,4.3149,0.6759,0.3067,0.1195,0.0,0.1457,0.061,0.0897,0.0,154.6315,102.9343,76.73,60.0,80.3999,68.5356,72.5644,60.0
57,0.855,0.5744,0.5988,0.2491,0.0529,94.8803,67.4116,46.5517,32.7485,1.0,0.657,13.5024,-0.7032,-28.7457,4.4243,0.6157,0.2792,0.1017,0.0,0.0779,0.0474,0.0865,0.0,146.1991,99.0896,74.2324,60.0,70.9014,66.6318,72.1132,60.0
58,0.87,0.5785,0.5997,0.2196,0.0535,90.7417,67.4955,50.5747,33.3333,1.0,0.6565,13.6479,-0.929,-28.271,4.6782,0.5691,0.2311,0.0781,0.0,0.075,0.0627,0.0765,0.0,139.6787,92.3587,70.9292,60.0,70.5003,68.7755,70.7062,60.0
59,0.885,0.584,0.5988,0.1651,0.0602,83.1148,68.427,33.908,34.5029,1.0,0.6582,13.8859,-1.0361,-26.7007,4.9313,0.4289,0.1663,0.0652,0.0,0.0899,0.0646,0.0862,0.0,120.0505,83.2782,69.1306,60.0,72.59,69.0451,72.073,60.0
