side,cell_type,n,пусто,медиана,макс,доля 0.5..2,CV,cv_nearest,cv_random
left,L1,800,0,1.0,25,0.986130374479889,1.032528752626289,2.2015583969088803,0.9776054930287577
left,L2,900,0,1.0,18,0.9500693481276006,0.976181778255224,1.9583540582039685,0.8782628758021973
left,L3,703,18,1.0,1,0.9750346740638003,0.1600142241187995,2.121673956424669,1.0145568735534398
left,L5,791,0,1.0,22,0.986130374479889,0.8872914814117819,2.2060338548132923,0.9463649122332638
left,Mi1,788,0,1.0,17,0.9875173370319001,0.8462611764812008,2.309795275950962,0.9460300289018388
left,Mi4,766,0,1.0,20,0.9902912621359223,0.8010391100074383,2.5992544122067454,0.9524086993749618
left,Mi9,784,0,1.0,22,0.9889042995839112,0.9097008166434443,2.5688097846887255,0.9288412088476933
left,Tm1,780,0,1.0,20,0.9902912621359223,0.9135080959795148,2.5330225336183925,0.9327643376891585
left,Tm2,784,0,1.0,15,0.986130374479889,0.7791206404037868,2.706668117061707,0.9263120078354046
left,Tm9,766,0,1.0,17,0.9930651872399445,0.8162349287989774,2.532205018192001,0.9677671695821581
left,T4a,725,0,1.0,5,0.9986130374479889,0.14804312126895158,2.556852256225703,1.0061234632516969
left,T4b,752,0,1.0,22,0.9958391123439667,0.7917450899502878,2.681492134596712,0.9893188048352889
left,T4c,864,0,1.0,29,0.970873786407767,1.2174660633454244,2.613263432766188,0.9042796742448658
left,T4d,796,0,1.0,19,0.984743411927878,0.8817144625242395,2.524614313590904,0.9654929240806674
left,T5a,741,0,1.0,14,0.9958391123439667,0.4987595730896199,2.7562449880004674,0.9746579927790562
left,T5b,753,0,1.0,13,0.9958391123439667,0.6324672438788137,2.845284827240931,0.9572242291441584
left,T5c,775,0,1.0,20,0.9916782246879334,0.8415416208886078,2.782558431659313,0.9774855721208751
left,T5d,740,0,1.0,12,0.9958391123439667,0.44514670393079736,2.5766702087189266,0.9562508205737992
right,L1,789,0,1.0,5,0.9764216366158114,0.41063074028614593,1.2786285746018997,0.9367135353273988
right,L2,797,0,1.0,8,0.9722607489597781,0.4974237361749053,1.4150025922692646,0.9421273387862724
right,L3,739,0,1.0,4,0.9944521497919556,0.21046190436083073,1.5668491883886178,1.0183809880635748
right,L5,785,0,1.0,6,0.9764216366158114,0.443776753342915,1.5267833461565057,0.9406985646880033
right,Mi1,796,0,1.0,7,0.970873786407767,0.48556535897385456,1.6694235760845602,0.9208534144113599
right,Mi4,766,0,1.0,6,0.9819694868238558,0.38109372930587865,2.30617410670214,1.0172888023766469
right,Mi9,769,0,1.0,7,0.984743411927878,0.43444319254172653,2.205827342891847,0.9465142962246985
right,Tm1,775,0,1.0,6,0.9805825242718447,0.4128024070463585,1.9897033595229674,0.9270624278101407
right,Tm2,767,0,1.0,7,0.984743411927878,0.4007891394541499,2.0873537318184865,0.9994669565862524
right,Tm9,755,0,1.0,8,0.9889042995839112,0.4183921263656416,2.1534778331278233,0.9768335390397135
right,T4a,737,0,1.0,4,0.9944521497919556,0.19156137751656008,2.0408075048876073,0.9650700602652034
right,T4b,748,0,1.0,5,0.9916782246879334,0.2486774764403513,2.276598621627097,0.95111089889969
right,T4c,842,0,1.0,10,0.9597780859916782,0.6431157512978711,2.1799131311108395,0.9091152208093666
right,T4d,777,0,1.0,8,0.986130374479889,0.3995138906227642,2.1070793560652588,0.9735567151134069
right,T5a,743,0,1.0,6,0.9916782246879334,0.2688153667611663,2.3441318760362755,0.9719561459075817
right,T5b,760,0,1.0,7,0.986130374479889,0.3819825451770599,2.528289388087704,0.9998632177921283
right,T5c,766,0,1.0,5,0.9902912621359223,0.30996906951555164,2.377017533386725,1.0087980200119042
right,T5d,727,0,1.0,4,0.9972260748959778,0.13794990469745166,2.4112231255895233,0.9896470681567863
