cycle,t_sec,eye_left_int,eye_right_int,dark_left,dark_right,lc_rate_left_hz,lc_rate_right_hz,dnp09_left_hz,dnp09_right_hz,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,heading_deg,dist_to_pillar_mm
0,0.0,0.5268,0.5997,0.2375,0.0,93.2464,60.0,47.7011,38.5965,0.9683,0.7638,2.6294,-0.536,-16.3943,7.39
1,0.015,0.5295,0.6013,0.208,0.0,89.1152,60.0,46.5517,30.4094,0.9661,0.7484,2.8454,-0.7522,-14.9277,7.194
2,0.03,0.534,0.6007,0.1591,0.0,82.2767,60.0,43.1034,33.9181,0.9575,0.741,3.0224,-0.6647,-10.5975,7.0092
3,0.045,0.537,0.599,0.1262,0.0,77.6747,60.0,40.2299,29.8246,0.9441,0.7267,3.1649,-0.5741,-7.2483,6.8592
4,0.06,0.536,0.5961,0.1365,0.0,79.1053,60.0,40.8046,30.9942,0.9331,0.7159,3.4518,-0.4919,-9.5009,6.5667
5,0.075,0.5335,0.5955,0.1641,0.0,82.9748,60.0,44.8276,33.9181,0.9309,0.7116,3.5163,-0.6784,-15.6678,6.5191
6,0.09,0.5336,0.5975,0.1635,0.0,82.8885,60.0,44.8276,30.4094,0.9289,0.7012,3.6662,-0.8257,-16.7197,6.3874
7,0.105,0.5347,0.5973,0.1514,0.0,81.2012,60.0,45.977,35.0877,0.9293,0.7005,3.9254,-0.972,-15.6364,6.1518
8,0.12,0.538,0.5953,0.1151,0.0,76.1075,60.0,38.5057,30.4094,0.9153,0.6911,4.0523,-0.8711,-11.4582,6.0111
9,0.135,0.5379,0.5952,0.1161,0.0,76.2483,60.0,37.3563,33.9181,0.9003,0.6892,4.2577,-0.7853,-12.2839,5.7958
10,0.15,0.5353,0.5972,0.1448,0.0,80.2661,60.0,38.5057,34.5029,0.889,0.6886,4.4389,-0.8737,-15.2922,5.6293
11,0.165,0.5315,0.5995,0.1857,0.0,86.0034,60.0,49.4253,31.5789,0.8999,0.6826,4.4948,-1.0116,-19.88,5.5974
12,0.18,0.5311,0.6005,0.1907,0.0,86.6964,60.0,50.5747,28.0702,0.912,0.6705,4.6803,-1.2342,-19.0885,5.461
13,0.195,0.5331,0.5996,0.1685,0.0,83.5915,60.0,44.8276,30.4094,0.9118,0.6639,4.8846,-1.2154,-16.1698,5.2578
14,0.21,0.5348,0.5974,0.1496,0.0,80.9482,60.0,44.2529,30.4094,0.9105,0.658,5.0092,-1.1204,-12.306,5.115
15,0.225,0.5321,0.5971,0.179,0.0,85.0583,60.0,46.5517,28.0702,0.9138,0.6483,5.2767,-1.0331,-14.3473,4.835
16,0.24,0.5272,0.5992,0.233,0.0,92.6161,60.0,45.977,29.8246,0.9157,0.6427,5.3292,-1.2197,-20.243,4.8274
17,0.255,0.5245,0.6006,0.2626,0.0,96.7648,60.0,54.5977,33.9181,0.934,0.6455,5.435,-1.3529,-21.9451,4.7612
18,0.27,0.5231,0.6003,0.2777,0.0,98.877,60.0,53.4483,29.2398,0.9484,0.6391,5.6856,-1.5642,-21.0584,4.5892
19,0.285,0.5249,0.5978,0.2587,0.0,96.2192,60.0,45.4023,30.4094,0.9458,0.6355,5.8225,-1.483,-17.2718,4.4329
20,0.3,0.5238,0.597,0.2697,0.0,97.7588,60.0,51.1494,33.3333,0.9546,0.6378,6.0048,-1.4324,-17.5688,4.2443
21,0.315,0.5186,0.5983,0.327,0.0,105.7777,60.0,51.7241,27.4854,0.9637,0.6289,6.2004,-1.493,-20.6281,4.0824
22,0.33,0.5125,0.6005,0.3937,0.0,115.1128,60.0,63.2184,28.655,0.9941,0.623,6.2325,-1.6361,-25.4332,4.1074
23,0.345,0.5104,0.6016,0.4166,0.0,118.3286,60.0,56.8966,38.0117,1.0,0.6353,6.3902,-1.8608,-24.9456,4.0612
24,0.36,0.5114,0.6007,0.4063,0.0,116.8857,60.0,57.4713,26.9006,1.0,0.6255,6.6202,-1.9233,-23.1064,3.8887
25,0.375,0.5126,0.5978,0.3928,0.0,114.9876,60.0,58.6207,32.7485,1.0,0.6277,6.7546,-1.839,-19.5738,3.7302
26,0.39,0.5088,0.5971,0.4341,0.0,120.7715,60.0,55.7471,35.6725,1.0,0.6351,6.9955,-1.7628,-21.4464,3.4835
27,0.405,0.5017,0.5993,0.5123,0.0,131.7231,60.0,54.023,30.4094,1.0,0.6319,7.0361,-1.96,-27.4772,3.5534
28,0.42,0.4962,0.6008,0.5724,0.0,140.1395,60.0,70.6897,25.1462,1.0,0.6192,7.0925,-2.1081,-30.3557,3.5913
29,0.435,0.4931,0.6009,0.6062,0.0,144.8636,60.0,71.8391,25.731,1.0,0.6087,7.3238,-2.3849,-29.6447,3.5846
30,0.45,0.4938,0.5983,0.5983,0.0,143.766,60.0,75.8621,20.4678,1.0,0.5893,7.4811,-2.3358,-26.082,3.4352
31,0.465,0.4926,0.5969,0.6113,0.0,145.5863,60.0,70.1149,21.6374,1.0,0.574,7.6514,-2.319,-26.122,3.3006
32,0.48,0.4855,0.5978,0.6887,0.0,156.4228,60.0,72.9885,29.2398,1.0,0.5744,7.8559,-2.3704,-28.9951,3.1963
33,0.495,0.4774,0.5996,0.7773,0.0,168.8238,60.0,74.7126,29.8246,1.0,0.5759,7.856,-2.5259,-34.575,3.3131
34,0.51,0.4731,0.6006,0.8252,0.0,175.5222,60.0,81.6092,26.9006,1.0,0.5718,7.9748,-2.7502,-34.1548,3.4154
35,0.525,0.4724,0.5995,0.8323,0.0,176.5173,60.0,71.2644,29.2398,1.0,0.5724,8.1954,-2.9006,-33.0039,3.4162
36,0.54,0.4732,0.5965,0.8232,0.0,175.2448,60.0,81.0345,31.5789,1.0,0.5774,8.3353,-2.8456,-30.1207,3.2968
37,0.555,0.4701,0.5959,0.8575,0.0,180.047,60.0,81.0345,25.731,1.0,0.5709,8.55,-2.803,-31.6179,3.1559
38,0.57,0.4651,0.5983,0.9128,0.0,187.7876,60.0,78.1609,28.655,1.0,0.5706,8.5755,-2.9929,-37.19,3.3146
39,0.585,0.4598,0.5998,0.9702,0.0,195.831,60.0,87.3563,28.655,1.0,0.5702,8.5744,-3.1402,-41.1513,3.4487
40,0.6,0.4575,0.6003,0.996,0.0,199.4398,60.0,87.931,26.3158,1.0,0.5655,8.7371,-3.4584,-40.6198,3.6818
41,0.615,0.4584,0.5979,0.9853,0.0,197.937,60.0,82.7586,25.1462,1.0,0.5591,8.9097,-3.467,-37.3532,3.6344
42,0.63,0.4586,0.5962,0.9833,0.0,197.663,60.0,93.6782,26.3158,1.0,0.5554,9.0653,-3.4624,-36.469,3.5864
43,0.645,0.4564,0.5968,1.0,0.0,200.0,60.0,85.0575,21.6374,1.0,0.5433,9.2747,-3.5216,-38.8766,3.5955
44,0.66,0.4584,0.5984,0.9852,0.0,197.9299,60.0,85.6322,26.3158,1.0,0.5412,9.2387,-3.6905,-45.3367,3.7682
45,0.675,0.4638,0.5996,0.9271,0.0,189.7911,60.0,86.7816,23.9766,1.0,0.5348,9.3116,-3.9066,-45.2638,3.9667
