rate_hz,dn_mean_hz,dn_active,rel_growth
25.0,1.0828814872192098,125,
50.0,2.5654531371030207,191,0.5778985507246377
100.0,4.384198295894655,215,0.4148409893992933
200.0,7.00852052672347,238,0.374447391688771
