cell_type,side,n,flatness
LC9,left,87,0.035990766955009204
LC9,right,92,0.10751323916974728
LC31a,left,18,0.003245905537825626
LC31a,right,17,0.0007670813751334987
LCe04,left,19,0.05911806955335642
LCe04,right,18,0.020813629081032133
