run,corr_eyes,std_common,std_diff,ratio,dark_left_max,dark_right_max
без столба,-0.9154720624141529,0.0023232466507024188,0.022100481804702813,0.10512199106030574,0.2524,0.2188
столб слева,0.05999756365289926,0.04511545815737661,0.08829343619431741,0.5109718242031706,1.0,0.3882
столб справа,-0.2530094783239465,0.013837722861800641,0.0331456875022981,0.41748184770164226,0.2854,0.6976
