seed,no_pillar,pillar_y,turn_deg,path_mm,dx_mm,dy_mm,dark_left_mean,dark_right_mean,dark_left_max,dark_right_max,cmd_left_mean,cmd_right_mean,cmd_asym_mean,corr_dark_cmd,corr_dark_cmd_lag1,dist_min_mm,dist_end_mm,elapsed_s,condition
0,True,,1.3597612296715056,15.576185349639784,15.447599351850048,1.9973042610115834,0.02899417289168923,0.007740017708856612,0.08225074410438538,0.056641336530447006,0.7240525011430856,0.7393294150773374,-0.015276913934251705,-0.16574790180708784,-0.04130009007641752,,,45.45872223399999,без столба
1,True,,-92.26000334454001,8.044060701264689,7.696079641625266,-2.3403569632413053,0.0281703957519494,0.008943000817671418,0.11104138195514679,0.19088345766067505,0.7100083595715302,0.39060710187461517,0.31940125769691524,0.3627724154238461,0.38338357065717665,,,50.24864651799999,без столба
2,True,,21.566199273267443,14.740222629645848,14.164661865915786,-4.0787887167386705,0.0066938899329397825,0.016850089395447868,0.10266697406768799,0.08587655425071716,0.6766581432966725,0.7507406264538815,-0.07408248315720888,0.17754213798228347,0.26118343950278083,,,46.22296160600001,без столба
3,True,,-35.82012498109873,13.21137238956891,13.028575793825649,-2.190108033957243,0.021425066511437763,0.002901464527240023,0.09097586572170258,0.036559030413627625,0.7391006375210464,0.6031500988914411,0.13595053862960532,0.08789930441676973,0.17939743102120395,,,44.26084647899995,без столба
4,True,,47.07781755471427,14.25584172229353,12.952294095585401,5.955426170522855,0.0031348797646933236,0.007378522321396304,0.02953963167965412,0.03984985873103142,0.5837085704821122,0.80789773394556,-0.2241891634634478,-0.04268199623215825,0.040641660116195265,,,43.02519155499999,без столба
5,True,,17.26595021422665,12.064290601472408,11.606084266956552,3.293313787825121,0.015395676512271165,0.02251403076108545,0.06298620998859406,0.07578220218420029,0.53436703068919,0.6127325319445442,-0.07836550125535424,0.04659935863876807,0.20476688837225726,,,42.853262348000044,без столба
6,True,,4.772630946253798,14.171571162991459,14.067108397018455,1.7175245483730321,0.017470162038807757,0.009105282798409463,0.08100602775812149,0.04905799403786659,0.6526287796176152,0.6885421014446069,-0.03591332182699185,-0.04097324968236281,0.07388912290069487,,,43.29991979700014,без столба
7,True,,53.77203789276422,15.620842193625057,14.196081326024174,6.517820634463992,0.006487239709531423,0.018221318018622697,0.04296834021806717,0.12035185843706131,0.6589390172333616,0.8934161637859792,-0.23447714655261773,-0.012953639607578995,0.11195127951588196,,,43.794855121999944,без столба
0,False,3.0,-74.87650090114519,15.025570943196557,14.795268231657552,-2.6206526138230313,0.3321219381969422,0.06872375812148675,1.0,0.2724405825138092,0.9327046502752568,0.6595483060514801,0.273156344223777,-0.27881746717546674,-0.23321595937223694,0.9927095696846865,7.277502246834804,44.772814326000116,столб слева
1,False,3.0,173.29932221178234,8.907137174890678,4.8302250654683965,7.483716888634974,0.09134654415247496,0.5305385440960526,0.3426252007484436,1.0,0.3806948554953264,0.9966521430058556,-0.6159572875105291,0.299345304919879,0.37220267996584366,1.7344520873335332,6.0208748405487125,44.00558154300006,столб слева
2,False,3.0,-13.828098267192331,16.35124287423417,13.944871675842268,-8.538366206510808,0.06129669319838285,0.030565627051983027,0.20789095759391785,0.09017536789178848,0.8133539275783044,0.7385499803408803,0.07480394723742405,0.3438597394652139,0.44158229829484896,7.6710366497169264,12.887027346728141,39.275219175000075,столб слева
3,False,3.0,174.92153266907815,6.5593875715533025,-3.77115628510779,5.366930741787147,0.013628733563236892,0.14549713272601367,0.16875243186950684,0.47562652826309204,0.3313261968928602,0.9250867125951281,-0.593760515702268,0.6459054169122534,0.6848683178392981,6.012447697363365,13.224148086341808,38.62318930200013,столб слева
4,False,3.0,-52.116847554459724,14.025798521875071,11.206688415320771,-8.43404760113127,0.12836161188664846,0.045661696087918244,0.4819728136062622,0.1058095395565033,0.8112757446566766,0.6461656352494191,0.16511010940725768,0.8281825809808161,0.8365299194582644,5.302220684219726,12.011778151136125,38.75678546200015,столб слева
